dataset,seed,status,algo,model,base_f1,mba_f1,gain,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,base_stop_epoch,mba_stop_epoch,f1_gain_pct,base_best_val_f1,mba_best_val_f1,fail_reason,requested_k_dir,effective_k_dir
ethanolconcentration,1,success,lraes,patchtst,0.142892486039443,0.124512001156738,-0.0183804848827049,0.0001628254088801,5.421467186564593e-09,1.2023575498304686,0.273661568177058,0.9999999999899996,1.165743966528321,0.0,0.0,26.0,24.0,-12.863148041586555,0.1357142857142857,0.1246498599439775,,,
fingermovements,1,success,lraes,patchtst,0.5392628205128205,0.4895405865278751,-0.0497222339849454,0.0004767338353712,6.711635813422254e-05,1.108022888958727,0.2103971703550129,0.9999999999899998,6.124161271064866,0.0,0.0,23.0,18.0,-9.22040661309724,0.6014943960149439,0.5625,,,
handmovementdirection,1,success,lraes,patchtst,0.4335389453313981,0.4962462462462462,0.0627073009148481,0.0002851290766021,1.1117827322302165e-07,1.079784584183191,0.1407377224278161,0.9999999999899996,0.9899009169526742,0.0,0.0,56.0,20.0,14.46404922235194,0.4075181159420289,0.3328605604921394,,,
handwriting,1,success,lraes,patchtst,0.2042697628646894,0.2087758972951809,0.0045061344304915,0.0001566259750263,0.0003232681361768,1.0762838794215803,0.1127973128250432,0.851065282172307,0.2429830989535751,0.0,0.0,41.0,62.0,2.205971241815753,0.1972222222222222,0.2222222222222221,,,
har,1,success,lraes,patchtst,0.872279748293328,0.8575415757003042,-0.0147381725930237,0.000270400152888,2.953306249692756,1.0513709165747678,0.1080236326257129,0.9896848140044056,1.2218957990441432,0.0,0.0,29.0,47.0,-1.6896151644291657,0.8939890092638265,0.9032097991316648,,,
heartbeat,1,success,lraes,patchtst,0.5156593406593406,0.5375530785562633,0.0218937378969227,0.0007034652073237,9.575898636694786,1.052895524408881,0.1271794318869558,0.9999999999899998,4.120208436999549,0.0,0.0,19.0,21.0,4.245774666498613,0.5684210526315789,0.5176470588235295,,,
japanesevowels,1,success,lraes,patchtst,0.8529404081339647,0.8709030538449546,0.0179626457109899,0.0003153508466551,2.461108440468484,1.2076803523777988,0.3228739089455438,0.9999999999899996,5.394679412581859,0.0,0.0,51.0,100.0,2.105967009385921,0.8855033855033855,0.8745143745143745,,,
libras,1,success,lraes,patchtst,0.7142374707931658,0.7267114096175882,0.0124739388244223,0.0001291999859787,0.2555846307426149,1.0551761061806748,0.1148661076932297,0.9733887678305015,0.5275506714835868,0.0,0.0,79.0,36.0,1.7464691489933786,0.8076190476190477,0.840952380952381,,,
natops,1,success,lraes,patchtst,0.7370564322177225,0.7392416075666114,0.0021851753488888,0.000444783574102,2.9103472591344106,1.2658806297622232,0.3986172941752491,0.99999999999,5.820767181549378,0.0,0.0,76.0,24.0,0.2964732355486888,0.740007215007215,0.7462121212121211,,,
pendigits,1,success,lraes,patchtst,0.9750667990897532,0.970296176012282,-0.0047706230774711,0.0001273838082113,1.4672253135805253e-07,1.015738869468249,0.0245287021002759,0.1913791676073623,0.0441086306557393,0.0,0.0,45.0,23.0,-0.4892611042303454,0.9972807121303136,0.9959938965206576,,,
racketsports,1,success,lraes,patchtst,0.7209931372360058,0.7435900156398588,0.022596878403853,0.00022177253513,0.0001210580262976,1.1007482639689732,0.1554339259888564,0.9999999999899996,2.143864856004255,0.0,0.0,42.0,100.0,3.134131811066671,0.8772970085470086,0.8770833333333333,,,
selfregulationscp2,1,success,lraes,patchtst,0.431578947368421,0.5304931064464041,0.098914159077983,0.0002388063413842,1.1580912032212542e-05,1.0746214823801716,0.1297847458927147,0.9999999999899998,0.4101357522299036,0.0,0.0,27.0,17.0,22.91912910997836,0.6247654784240151,0.5989974937343359,,,
uwavegesturelibrary,1,success,lraes,patchtst,0.8123181986351585,0.8141469815041307,0.0018287828689721,0.0001564450172281,0.0016526255770176,1.0889921801319309,0.1317300056988501,0.923878289925305,0.539991542003117,0.0,0.0,47.0,30.0,0.2251313151562424,0.8833333333333333,0.8833333333333333,,,
