anchor_index,tid,tier_ratio,tier_label,cA_direction_id,cA_sign,cA_safe_upper_bound,cA_gamma_used,safe_radius_ratio_A,cDm_direction_id,cDm_sign,cDm_safe_upper_bound,cDm_gamma_used,safe_radius_ratio_Dm,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro,cDm_transport_error_logeuc,cDm_transport_error_fro,dual_transport_error_logeuc
29,natops_train_70,0.25,small,4,-1.0,0.1,0.025,0.2499999999975,8,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,2,6.004198020795589,0.00044165718633184284,6.325791480411313,0.00044086122132239126,6.1649947506034515
29,natops_train_70,0.5,mid,4,-1.0,0.1,0.05,0.499999999995,8,-1.0,0.05,0.025,0.49999999999,0.4999999999925,2,6.005606694854858,0.0004444744237414696,6.326376586453473,0.0004408366623959975,6.165991640654166
29,natops_train_70,0.9,edge,4,-1.0,0.1,0.09000000000000001,0.899999999991,8,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,2,6.007584912154705,0.00045349245310366657,6.327315014719951,0.00044084352858618395,6.167449963437328
30,natops_train_86,0.25,small,0,1.0,0.1,0.025,0.2499999999975,0,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,3,5.559144209508831,0.0004432392413545486,5.460520670776273,0.00044064410305419166,5.509832440142551
30,natops_train_86,0.5,mid,0,1.0,0.1,0.05,0.499999999995,0,-1.0,0.05,0.025,0.49999999999,0.4999999999925,3,5.561066064347412,0.0004495655616366182,5.459520752077943,0.00044042072059605355,5.510293408212678
30,natops_train_86,0.9,edge,0,1.0,0.1,0.09000000000000001,0.899999999991,0,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,3,5.563313989350596,0.00046901608630817794,5.457935782824425,0.00044014882192057957,5.510624886087511
31,natops_train_113,0.25,small,2,-1.0,0.1,0.025,0.2499999999975,1,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,2,6.350627785016128,0.000441694148782965,6.757393963537735,0.00044081819353350177,6.554010874276932
31,natops_train_113,0.5,mid,2,-1.0,0.1,0.05,0.499999999995,1,-1.0,0.05,0.025,0.49999999999,0.4999999999925,2,6.351199401436215,0.0004439388777718105,6.756074480455572,0.0004407465469960012,6.553636940945894
31,natops_train_113,0.9,edge,2,-1.0,0.1,0.09000000000000001,0.899999999991,1,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,2,6.352255579312459,0.00045071223804990404,6.753972195995079,0.00044067003560469117,6.553113887653769
32,natops_train_167,0.25,small,5,-1.0,0.1,0.025,0.2499999999975,3,1.0,0.05,0.0125,0.249999999995,0.24999999999625,1,5.747141567827443,0.00044316305165471994,6.057614543216877,0.0004411818819112151,5.90237805552216
32,natops_train_167,0.5,mid,5,-1.0,0.1,0.05,0.499999999995,3,1.0,0.05,0.025,0.49999999999,0.4999999999925,1,5.749114361847055,0.0004497242401870453,6.058799461169635,0.0004414872415933834,5.903956911508345
32,natops_train_167,0.9,edge,5,-1.0,0.1,0.09000000000000001,0.899999999991,3,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,1,5.751332677967942,0.00047048586673297666,6.060694152048393,0.00044204172483274217,5.906013415008168
33,natops_train_79,0.25,small,3,1.0,0.1,0.025,0.2499999999975,6,1.0,0.05,0.0125,0.249999999995,0.24999999999625,5,5.643037117118965,0.0004427776161772254,5.453170003413795,0.00044094911190101894,5.54810356026638
33,natops_train_79,0.5,mid,3,1.0,0.1,0.05,0.499999999995,6,1.0,0.05,0.025,0.49999999999,0.4999999999925,5,5.643221795504005,0.00044823186555972795,5.453673107292841,0.0004410309074496394,5.548447451398423
33,natops_train_79,0.9,edge,3,1.0,0.1,0.09000000000000001,0.899999999991,6,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,5,5.644137342014286,0.0004651872631178458,5.454485598797865,0.00044124795623542783,5.549311470406075
34,natops_train_33,0.25,small,4,-1.0,0.1,0.025,0.2499999999975,2,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,4,5.585209920559016,0.00044143734543170395,5.3680376173614075,0.0004409849954611157,5.476623768960212
34,natops_train_33,0.5,mid,4,-1.0,0.1,0.05,0.499999999995,2,-1.0,0.05,0.025,0.49999999999,0.4999999999925,4,5.583485217932239,0.0004437650721420309,5.368312230830304,0.0004411095506471199,5.475898724381271
34,natops_train_33,0.9,edge,4,-1.0,0.1,0.09000000000000001,0.899999999991,2,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,4,5.5804244588638365,0.00045104960039999976,5.368733142210504,0.0004414056326627346,5.47457880053717
35,natops_train_174,0.25,small,9,-1.0,0.1,0.025,0.2499999999975,6,1.0,0.05,0.0125,0.249999999995,0.24999999999625,3,5.576811880937555,0.0004422314697036107,5.473233229925919,0.00044095927128443127,5.525022555431737
35,natops_train_174,0.5,mid,9,-1.0,0.1,0.05,0.499999999995,6,1.0,0.05,0.025,0.49999999999,0.4999999999925,3,5.574153687216085,0.00044645331341786737,5.472740155125014,0.0004410596847076089,5.5234469211705495
35,natops_train_174,0.9,edge,9,-1.0,0.1,0.09000000000000001,0.899999999991,6,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,3,5.572085745448205,0.0004600487270137782,5.471950707266305,0.0004413242608901976,5.522018226357255
36,natops_train_153,0.25,small,7,1.0,0.1,0.025,0.2499999999975,5,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,4,5.397526190623187,0.0004411019180932395,5.454951629347131,0.00044095455814419896,5.426238909985159
36,natops_train_153,0.5,mid,7,1.0,0.1,0.05,0.499999999995,5,-1.0,0.05,0.025,0.49999999999,0.4999999999925,4,5.3973832180615124,0.00044261206739186053,5.4550914325067605,0.00044107128510005713,5.426237325284136
