dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,scaling_low,scaling_high,mixup_alpha,dba_k,dba_max_iter,smote_k_neighbors,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum
ering,2,raw_smote_flatten_balanced,success,,0.848105426301868,0.848105426301868,0.0,0,0.0,0.0,flattened_raw,hard,resnet1d,True,True,imbalanced-learn,False,class_balancing_smote_auto,0.7777777777777778,30,0,,,,,,3.0,,,
ering,2,random_cov_state,success,,0.848105426301868,0.8771350496472868,0.02902962334541881,240,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,20,0,,,,,,,0.0013012439198476161,,
ering,2,pca_cov_state,success,,0.848105426301868,0.8701537940854668,0.022048367783598755,240,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,21,0,,,,,,,0.001301650145804759,10.0,0.9999999403953552
ering,2,csta_top1_current,success,,0.848105426301868,0.8605644147623157,0.012458988460447684,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,anchor_top_response,1.0,30,0,,,,,,,,,
ering,2,csta_group_template_top,success,,0.848105426301868,0.8143064574119382,-0.03379896888992984,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,group_center_top_response,1.0,30,0,,,,,,,,,
ering,3,no_aug,success,,0.8501737413578302,0.8501737413578302,0.0,0,0.0,0.0,none,hard,resnet1d,True,False,none,True,none,0.7777777777777778,30,0,,,,,,,,,
ering,3,raw_aug_jitter,success,,0.8501737413578302,0.6548812440081743,-0.19529249734965592,240,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.7777777777777778,20,0,,,,,,,,,
ering,3,raw_aug_scaling,success,,0.8501737413578302,0.7005024808998183,-0.14967126045801193,240,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_amplitude_uniform,0.7777777777777778,20,0,0.8,1.2,,,,,,,
ering,3,raw_aug_timewarp,success,,0.8501737413578302,0.7372423688613051,-0.11293137249652507,240,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_timewarp,1.0,21,0,,,,,,,,,
ering,3,raw_mixup,success,,0.8501737413578302,0.784509032090401,-0.06566470926742918,240,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.7777777777777777,19,0,,,0.4,,,,,,
ering,3,dba_sameclass,success,,0.8501737413578302,0.8414960913532203,-0.00867765000460985,240,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,1.0,25,240,,,,5.0,5.0,,,,
ering,3,raw_smote_flatten_balanced,success,,0.8501737413578302,0.8501737413578302,0.0,0,0.0,0.0,flattened_raw,hard,resnet1d,True,True,imbalanced-learn,False,class_balancing_smote_auto,0.7777777777777778,30,0,,,,,,3.0,,,
ering,3,random_cov_state,success,,0.8501737413578302,0.6789918313366403,-0.17118191002118988,240,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,27,0,,,,,,,0.0013502155897947823,,
ering,3,pca_cov_state,success,,0.8501737413578302,0.827486048389814,-0.022687692968016204,240,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,15,0,,,,,,,0.0013507066638475873,10.0,0.9999998807907104
ering,3,csta_top1_current,success,,0.8501737413578302,0.8799985413910164,0.029824800033186216,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,anchor_top_response,1.0,22,0,,,,,,,,,
ering,3,csta_group_template_top,success,,0.8501737413578302,0.8351059504074262,-0.015067790950404003,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,group_center_top_response,1.0,16,0,,,,,,,,,
