dataset,seed,status,algo,model,pipeline,acl_aug_ce_mode,base_f1,act_f1,gain,warmup_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,base_stop_epoch,act_stop_epoch,warmup_stop_epoch,f1_gain_pct,base_best_val_f1,act_best_val_f1,warmup_best_val_f1,selected_anchor_count,selected_positive_count,candidate_total_count,hard_positive_score_mean,fidelity_score_mean,acl_last_ce_loss,acl_last_supcon_loss
libras,2,success,lraes,resnet1d,gcg_acl,selected,0.836238490441389,0.8772407688929429,0.04100227845155391,0.07585741485586604,0.00012909320987521418,0.2471179536273763,1.0712354642713515,0.11817531902986815,0.9520838126744715,0.5439260542963842,-0.0080067506157017,0.5,20,19,10,4.9031794179591515,0.8571428571428572,0.8893650793650794,0.0582375478927203,144,144,576,0.6036952145616769,0.8388293707670744,0.11959523459275563,1.7709175546964009
libras,3,success,lraes,resnet1d,gcg_acl,selected,0.8203611525350657,0.8180245375147924,-0.0023366150202732694,0.01735449735449735,0.00012876337296146095,0.24681355742917876,1.069948249137707,0.11613099389508018,0.9652118098530378,0.5671790215825037,0.012158713667304255,0.5034722222222222,20,20,10,-0.28482756993369734,0.8222222222222223,0.7714285714285715,0.06095238095238096,144,144,576,0.6612573684820755,0.8360984521347574,0.2239360511302948,1.7682434519131978
motorimagery,1,success,lraes,resnet1d,gcg_acl,selected,0.35661764705882354,0.3985139757046821,0.04189632864585857,0.4052294916395466,0.000721517609691513,0.00010572863055370052,1.1424518667345003,0.28601823488224115,0.9999999999989999,5.862721856486681,-0.002684869815024908,0.5225225225225225,20,20,10,11.748245563041998,0.5356550580431177,0.5692307692307692,0.5139826422372227,222,222,888,0.9069115862526138,0.9998943009758909,0.09597263298928738,4.0444231033325195
motorimagery,2,success,lraes,resnet1d,gcg_acl,selected,0.5463252343986289,0.49269480519480524,-0.05363042920382366,0.46567194273616297,0.0007216293030193713,0.00010536629032540836,1.1304996549104402,0.27891686252622677,0.9999999999989999,5.830866415073858,0.0029063196755790464,0.49099099099099097,17,20,10,-9.816573720282934,0.5303225806451612,0.5658914728682171,0.6036400404448938,222,222,888,0.8599833736756668,0.9998946760608548,0.18838263675570488,4.189323008060455
motorimagery,3,success,lraes,resnet1d,gcg_acl,selected,0.4188034188034188,0.4832575444398512,0.06445412563643238,0.4800309768779732,0.0007214165588222123,0.00010605089783125219,1.1326933807196145,0.2776847281044207,0.9999999999989999,5.846786074318897,-0.0013432435034291801,0.5045045045045045,15,15,10,15.39006305882696,0.5351213282247764,0.5573122529644269,0.5859852137576342,222,222,888,0.9044222091939771,0.9998939844718833,0.13753501698374748,4.139406800270081
natops,1,success,lraes,resnet1d,gcg_acl,selected,0.8647093640031763,0.955201928641542,0.09049256463836564,0.8295686886605186,0.0004503676481350738,2.91192096306279,1.3847333550336716,0.5851672914516752,0.9999999999989999,5.820767181549379,0.001737432274644056,0.4913194444444444,20,20,10,10.465083175964088,0.9458874458874459,0.972027972027972,0.883882783882784,144,144,576,0.14295319368172954,0.15135733295014464,0.030760875592629116,2.572672208150228
natops,2,success,lraes,resnet1d,gcg_acl,selected,0.9223275939281637,0.909878289120444,-0.012449304807719663,0.96107248923737,0.00045363330967650227,2.913927572296317,1.4845154601131352,0.692237508945615,0.9999999999989999,5.736280706282663,0.002830016951015245,0.4965277777777778,15,20,10,-1.3497702486519167,1.0,1.0,0.9444444444444445,144,144,576,0.1449612597352732,0.14963868180119896,0.09907074272632599,2.696195443471273
natops,3,success,lraes,resnet1d,gcg_acl,selected,0.91055009380533,0.8772973926993511,-0.03325270110597889,0.8761136921521131,0.0004530592861638527,2.9206737691612514,1.4730565421572694,0.6831613926700877,0.9999999999989999,5.643837031040933,0.0035383786113622286,0.4774305555555556,18,14,10,-3.65193498746189,0.972027972027972,0.9458874458874459,0.9155844155844156,144,144,576,0.1477886790130282,0.15129512837613568,0.07675245652596156,2.6847359339396157
pendigits,1,success,lraes,resnet1d,gcg_acl,selected,0.9824371157703105,0.9879631079997582,0.005525992229447718,0.9836073480408534,0.00012735085618902463,1.467345413632246e-07,1.0142887811384522,0.02258518697502328,0.2766409690089517,0.04410863065573932,0.0032099160230411737,0.49307756463719765,19,20,10,0.5624779009531813,0.9979969507871479,0.9979707307202688,0.9960148601958763,5995,5995,23980,0.30998726370394375,0.9999998537016728,0.005180299446015233,2.552939453023545
pendigits,2,success,lraes,resnet1d,gcg_acl,selected,0.983842004797679,0.9880482327358173,0.004206227938138296,0.9795342638354019,0.00012736697220139267,1.4508426361911214e-07,1.0143127220869546,0.02262462583630965,0.273935888441113,0.04252716781920632,0.0022964113411937125,0.49495412844036696,13,20,10,0.42753079153928675,0.9979969507871479,0.9974051705745899,0.9973538639704277,5995,5995,23980,0.30970361537124597,0.999999855050783,0.015764391873628793,2.5722847137045353
