dataset,seed,arm,class_id,prototype_id,fit_anchor_count,fit_anchor_margin_mean,fit_anchor_same_dist_mean,anchor_coverage_ratio_mean,weight_mean,weight_min,weight_max,effective_sample_size,effective_sample_ratio,weight_scale,weight_kernel_name,fallback_unweighted
natops,1,c2_median_min_weighted_a2r,0,0,8,0.5030810604720519,3.3916853806625946,,0.4278578865748188,0.14366492641311604,1.0,6.038935826679034,0.7548669783348793,0.30334624264294563,exp_relative_distance_over_median_minus_min,False
natops,1,c2_median_min_weighted_a2r,0,1,8,0.8630821976046186,3.3658088608275714,,0.4420199369256024,0.29205195892427727,1.0,6.458130057678185,0.8072662572097731,0.20782928890244,exp_relative_distance_over_median_minus_min,False
natops,1,c2_median_min_weighted_a2r,0,2,8,1.5069689063347007,3.2825226152070544,,0.482064807029971,0.20418529700049642,1.0,6.081731769147383,0.7602164711434228,0.16834471964340558,exp_relative_distance_over_median_minus_min,False
natops,1,c2_median_min_weighted_a2r,0,3,8,1.449892007164888,3.6591817966877294,,0.44430111120145,0.006468010924085495,1.0,4.755382693038496,0.594422836629812,0.020387214971775425,exp_relative_distance_over_median_minus_min,False
natops,1,c2_median_min_weighted_a2r,1,0,8,0.07289349594187888,3.798332794343885,,0.5095676970255303,0.02351603397741111,1.0,4.711495403009215,0.5889369253761518,0.10790774710226758,exp_relative_distance_over_median_minus_min,False
natops,1,c2_median_min_weighted_a2r,1,1,8,0.7180726574524804,3.577446430974101,,0.45995242977922896,0.33148516929049004,1.0,6.62547954160421,0.8281849427005262,0.25024564133257465,exp_relative_distance_over_median_minus_min,False
natops,1,c2_median_min_weighted_a2r,1,2,8,0.1991691609702559,3.2044888151779203,,0.46705584194373817,0.16997806437898869,1.0,6.220829131261691,0.7776036414077113,0.08599013886349915,exp_relative_distance_over_median_minus_min,False
natops,1,c2_median_min_weighted_a2r,1,3,8,2.9857216200771033,2.853768619094396,,0.3587229911264173,0.017262780558103145,1.0,4.895000203419299,0.6118750254274123,0.081273001699945,exp_relative_distance_over_median_minus_min,False
natops,1,c2_median_min_weighted_a2r,2,0,8,-0.12472803024488971,3.7229515807711056,,0.46907333674021656,0.052293212438651225,1.0,5.3473322850695,0.6684165356336875,0.025450409056012813,exp_relative_distance_over_median_minus_min,False
natops,1,c2_median_min_weighted_a2r,2,1,8,0.6358442348894825,3.5613650577112184,,0.40278342213154983,0.14108425257480164,1.0,5.611990533457867,0.7014988166822334,0.11678517488366102,exp_relative_distance_over_median_minus_min,False
natops,1,c2_median_min_weighted_a2r,2,2,8,2.2104147952222473,3.2628284407927834,,0.5176415064217357,0.21233628798442833,1.0,5.882805817348237,0.7353507271685297,0.04735999333299601,exp_relative_distance_over_median_minus_min,False
natops,1,c2_median_min_weighted_a2r,2,3,8,1.071600603170148,3.1374271788575596,,0.41754881675226757,0.10939768397572008,1.0,5.5121234999206,0.689015437490075,0.10274564804561725,exp_relative_distance_over_median_minus_min,False
natops,1,c2_median_min_weighted_a2r,3,0,8,0.8666836763548701,5.5515552595337905,,0.454948682706551,0.09307675418674007,1.0,4.982624970828501,0.6228281213535626,0.1992298674585813,exp_relative_distance_over_median_minus_min,False
natops,1,c2_median_min_weighted_a2r,3,1,8,0.6595381847647819,5.190122141816204,,0.4234627685129009,0.007648714404518057,1.0,5.280490683833511,0.6600613354791889,0.03299980241172129,exp_relative_distance_over_median_minus_min,False
natops,1,c2_median_min_weighted_a2r,3,2,8,0.3082215927017101,5.659951445704815,,0.39033813654489335,0.02797096698704577,1.0,4.811188851745524,0.6013986064681905,0.14964701561760574,exp_relative_distance_over_median_minus_min,False
natops,1,c2_median_min_weighted_a2r,3,3,8,0.3782925220005946,5.443792992478468,,0.5105983684533921,0.18510079410125474,1.0,5.596544166677433,0.6995680208346792,0.12266938824924889,exp_relative_distance_over_median_minus_min,False
natops,1,c2_median_min_weighted_a2r,4,0,8,0.16860734398824007,5.5392778531031865,,0.502132602778447,0.2655972961442492,1.0,6.059600214366593,0.7574500267958241,0.2928912726693005,exp_relative_distance_over_median_minus_min,False
natops,1,c2_median_min_weighted_a2r,4,1,8,0.5781129782054254,5.201372092565393,,0.4586766439482359,8.53522245455943e-07,1.0,4.507184771867024,0.563398096483378,0.0653870622685,exp_relative_distance_over_median_minus_min,False
natops,1,c2_median_min_weighted_a2r,4,2,8,0.48910183339944746,5.30459588039013,,0.48116058148848295,0.07192047852710082,1.0,5.44668113413973,0.6808351417674663,0.11377936832966284,exp_relative_distance_over_median_minus_min,False
natops,1,c2_median_min_weighted_a2r,4,3,8,0.8333842454178233,5.6624209184709215,,0.4551639969198445,0.13682523970214158,1.0,5.788275376545727,0.7235344220682158,0.34549406998747667,exp_relative_distance_over_median_minus_min,False
natops,1,c2_median_min_weighted_a2r,5,0,8,2.263090359487519,4.902410822182109,,0.44765984994757874,0.19911279028850737,1.0,6.217112487345077,0.7771390609181347,0.13031488618443188,exp_relative_distance_over_median_minus_min,False
natops,1,c2_median_min_weighted_a2r,5,1,8,2.7916580640797006,5.389351593903922,,0.36275986626940365,0.03525610634374006,1.0,4.829735176727405,0.6037168970909256,0.11165241393287051,exp_relative_distance_over_median_minus_min,False
