split,epoch,class_idx,committee_idx,sample_idx_in_batch,ridge_mode,solve_mode,support_mode,prototype_aggregation,input_norm_mode,mean_trace,condition_number,effective_ridge,weight_norm
train,1,1,-1,30,fixed,pinv,same_only,pooled,none,0.007812499534338713,96447328.0,0.0,1.0183000564575195
train,1,1,-1,31,fixed,pinv,same_only,pooled,none,0.0078125,96442768.0,0.0,1.018300175666809
train,1,1,-1,32,fixed,pinv,same_only,pooled,none,0.0078125,96447400.0,0.0,1.0183000564575195
train,1,1,-1,33,fixed,pinv,same_only,pooled,none,0.007812499534338713,96444968.0,0.0,1.018300175666809
train,1,1,-1,34,fixed,pinv,same_only,pooled,none,0.0078125,96444704.0,0.0,1.018300175666809
train,1,1,-1,35,fixed,pinv,same_only,pooled,none,0.0078125,96443432.0,0.0,1.0182998180389404
train,1,1,-1,36,fixed,pinv,same_only,pooled,none,0.0078125,96443872.0,0.0,1.0182998180389404
train,1,1,-1,37,fixed,pinv,same_only,pooled,none,0.0078125,96445648.0,0.0,1.0183000564575195
train,1,1,-1,38,fixed,pinv,same_only,pooled,none,0.0078125,96443752.0,0.0,1.0182998180389404
train,1,1,-1,39,fixed,pinv,same_only,pooled,none,0.0078125,96444576.0,0.0,1.01829993724823
train,1,1,-1,40,fixed,pinv,same_only,pooled,none,0.0078125,96446656.0,0.0,1.0182998180389404
train,1,1,-1,41,fixed,pinv,same_only,pooled,none,0.0078125,96442664.0,0.0,1.0183000564575195
train,1,1,-1,42,fixed,pinv,same_only,pooled,none,0.0078125,96443760.0,0.0,1.0183000564575195
train,1,1,-1,43,fixed,pinv,same_only,pooled,none,0.0078125,96443688.0,0.0,1.018300175666809
train,1,1,-1,44,fixed,pinv,same_only,pooled,none,0.0078125,96445864.0,0.0,1.0182996988296509
train,1,1,-1,45,fixed,pinv,same_only,pooled,none,0.0078125,96442776.0,0.0,1.0183000564575195
train,1,1,-1,46,fixed,pinv,same_only,pooled,none,0.0078125,96443984.0,0.0,1.01829993724823
train,1,1,-1,47,fixed,pinv,same_only,pooled,none,0.0078125,96443992.0,0.0,1.01829993724823
train,1,1,-1,48,fixed,pinv,same_only,pooled,none,0.0078125,96447624.0,0.0,1.0182998180389404
train,1,1,-1,49,fixed,pinv,same_only,pooled,none,0.0078125,96444080.0,0.0,1.0183004140853882
train,1,1,-1,50,fixed,pinv,same_only,pooled,none,0.007812499534338713,96444088.0,0.0,1.018300175666809
train,1,1,-1,51,fixed,pinv,same_only,pooled,none,0.0078125,96444952.0,0.0,1.0183000564575195
train,1,1,-1,52,fixed,pinv,same_only,pooled,none,0.007812499068677425,96444280.0,0.0,1.01829993724823
train,1,1,-1,53,fixed,pinv,same_only,pooled,none,0.007812499534338713,96442912.0,0.0,1.0182998180389404
train,1,1,-1,54,fixed,pinv,same_only,pooled,none,0.0078125,96442616.0,0.0,1.01829993724823
train,1,1,-1,55,fixed,pinv,same_only,pooled,none,0.007812499534338713,96443352.0,0.0,1.018300175666809
train,1,1,-1,56,fixed,pinv,same_only,pooled,none,0.0078125,96444792.0,0.0,1.0183000564575195
train,1,1,-1,57,fixed,pinv,same_only,pooled,none,0.0078125,96443088.0,0.0,1.0183000564575195
train,1,1,-1,58,fixed,pinv,same_only,pooled,none,0.0078125,96443816.0,0.0,1.0182998180389404
train,1,1,-1,59,fixed,pinv,same_only,pooled,none,0.0078125,96443024.0,0.0,1.0182998180389404
train,1,1,-1,60,fixed,pinv,same_only,pooled,none,0.0078125,96443216.0,0.0,1.01829993724823
train,1,1,-1,61,fixed,pinv,same_only,pooled,none,0.007812499534338713,96442840.0,0.0,1.0183000564575195
train,1,1,-1,62,fixed,pinv,same_only,pooled,none,0.007812499534338713,96443504.0,0.0,1.01829993724823
train,1,1,-1,63,fixed,pinv,same_only,pooled,none,0.0078125,96445280.0,0.0,1.0183002948760986
train,1,0,-1,0,fixed,pinv,same_only,pooled,none,0.0078125,95510952.0,0.0,1.0234637260437012
train,1,0,-1,1,fixed,pinv,same_only,pooled,none,0.0078125,95511000.0,0.0,1.0234637260437012
train,1,0,-1,2,fixed,pinv,same_only,pooled,none,0.0078125,95513360.0,0.0,1.0234637260437012
