split,epoch,class_idx,committee_idx,sample_idx_in_batch,ridge_mode,solve_mode,support_mode,prototype_aggregation,input_norm_mode,mean_trace,condition_number,effective_ridge,weight_norm
train,1,3,-1,9,fixed,pinv,same_only,pooled,none,0.0078125,96301832.0,0.0,1.0190752744674683
train,1,3,-1,10,fixed,pinv,same_only,pooled,none,0.0078125,96303288.0,0.0,1.0190746784210205
train,1,3,-1,11,fixed,pinv,same_only,pooled,none,0.007812499534338713,96303664.0,0.0,1.0190750360488892
train,1,3,-1,12,fixed,pinv,same_only,pooled,none,0.0078125,96303472.0,0.0,1.0190749168395996
train,1,3,-1,13,fixed,pinv,same_only,pooled,none,0.0078125,96303056.0,0.0,1.0190751552581787
train,1,3,-1,14,fixed,pinv,same_only,pooled,none,0.0078125,96303032.0,0.0,1.0190746784210205
train,1,3,-1,15,fixed,pinv,same_only,pooled,none,0.0078125,96301704.0,0.0,1.0190749168395996
train,1,3,-1,16,fixed,pinv,same_only,pooled,none,0.0078125,96302448.0,0.0,1.0190746784210205
train,1,3,-1,17,fixed,pinv,same_only,pooled,none,0.007812499534338713,96302256.0,0.0,1.01907479763031
train,1,3,-1,18,fixed,pinv,same_only,pooled,none,0.0078125,96303768.0,0.0,1.0190751552581787
train,1,3,-1,19,fixed,pinv,same_only,pooled,none,0.0078125,96302528.0,0.0,1.0190749168395996
train,1,3,-1,20,fixed,pinv,same_only,pooled,none,0.0078125,96302616.0,0.0,1.0190752744674683
train,1,3,-1,21,fixed,pinv,same_only,pooled,none,0.0078125,96302744.0,0.0,1.01907479763031
train,1,3,-1,22,fixed,pinv,same_only,pooled,none,0.0078125,96304856.0,0.0,1.0190751552581787
train,1,3,-1,23,fixed,pinv,same_only,pooled,none,0.0078125,96304056.0,0.0,1.019074559211731
train,1,3,-1,24,fixed,pinv,same_only,pooled,none,0.0078125,96302936.0,0.0,1.0190751552581787
train,1,3,-1,25,fixed,pinv,same_only,pooled,none,0.0078125,96301496.0,0.0,1.0190749168395996
train,1,3,-1,26,fixed,pinv,same_only,pooled,none,0.0078125,96301848.0,0.0,1.0190751552581787
train,1,3,-1,27,fixed,pinv,same_only,pooled,none,0.0078125,96304248.0,0.0,1.0190746784210205
train,1,3,-1,28,fixed,pinv,same_only,pooled,none,0.0078125,96303296.0,0.0,1.0190751552581787
train,1,3,-1,29,fixed,pinv,same_only,pooled,none,0.0078125,96302904.0,0.0,1.0190750360488892
train,1,3,-1,30,fixed,pinv,same_only,pooled,none,0.0078125,96301744.0,0.0,1.0190750360488892
train,1,3,-1,31,fixed,pinv,same_only,pooled,none,0.0078125,96302632.0,0.0,1.01907479763031
train,1,3,-1,32,fixed,pinv,same_only,pooled,none,0.007812499534338713,96302808.0,0.0,1.01907479763031
train,1,3,-1,33,fixed,pinv,same_only,pooled,none,0.0078125,96302280.0,0.0,1.0190750360488892
train,1,3,-1,34,fixed,pinv,same_only,pooled,none,0.0078125,96304104.0,0.0,1.01907479763031
train,1,3,-1,35,fixed,pinv,same_only,pooled,none,0.007812499534338713,96302312.0,0.0,1.0190746784210205
train,1,3,-1,36,fixed,pinv,same_only,pooled,none,0.0078125,96301408.0,0.0,1.0190753936767578
train,1,3,-1,37,fixed,pinv,same_only,pooled,none,0.0078125,96303760.0,0.0,1.0190750360488892
train,1,3,-1,38,fixed,pinv,same_only,pooled,none,0.0078125,96302496.0,0.0,1.0190752744674683
train,1,3,-1,39,fixed,pinv,same_only,pooled,none,0.0078125,96304272.0,0.0,1.0190746784210205
train,1,3,-1,40,fixed,pinv,same_only,pooled,none,0.0078125,96301904.0,0.0,1.01907479763031
train,1,3,-1,41,fixed,pinv,same_only,pooled,none,0.0078125,96303336.0,0.0,1.0190744400024414
train,1,3,-1,42,fixed,pinv,same_only,pooled,none,0.0078125,96304688.0,0.0,1.0190750360488892
train,1,3,-1,43,fixed,pinv,same_only,pooled,none,0.0078125,96303040.0,0.0,1.0190751552581787
train,1,3,-1,44,fixed,pinv,same_only,pooled,none,0.0078125,96303216.0,0.0,1.0190751552581787
train,1,3,-1,45,fixed,pinv,same_only,pooled,none,0.0078125,96303832.0,0.0,1.0190749168395996
train,1,3,-1,46,fixed,pinv,same_only,pooled,none,0.0078125,96303824.0,0.0,1.019074559211731
train,1,3,-1,47,fixed,pinv,same_only,pooled,none,0.0078125,96305592.0,0.0,1.01907479763031
train,1,3,-1,48,fixed,pinv,same_only,pooled,none,0.0078125,96303280.0,0.0,1.0190751552581787
train,1,3,-1,49,fixed,pinv,same_only,pooled,none,0.007812499534338713,96303288.0,0.0,1.0190751552581787
train,1,3,-1,50,fixed,pinv,same_only,pooled,none,0.0078125,96303864.0,0.0,1.0190746784210205
train,1,3,-1,51,fixed,pinv,same_only,pooled,none,0.0078125,96303424.0,0.0,1.0190753936767578
