anchor_index,tid,tier_ratio,tier_label,direction_id,sign,safe_upper_bound,gamma_used,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro
83,natops_train_82,0.9,edge,7,-1.0,0.1,0.09000000000000001,0.899999999991,1,5.8710808114694375,0.00044789282806809475
84,natops_train_5,0.25,small,6,-1.0,0.1,0.025,0.2499999999975,4,5.567439774051421,0.000443304458252341
84,natops_train_5,0.5,mid,6,-1.0,0.1,0.05,0.499999999995,4,5.568542650938137,0.00045144240140546386
84,natops_train_5,0.9,edge,6,-1.0,0.1,0.09000000000000001,0.899999999991,4,5.568270925165349,0.0004773849529517678
85,natops_train_27,0.25,small,5,-1.0,0.1,0.025,0.2499999999975,4,5.400732845019911,0.00044340678028120215
85,natops_train_27,0.5,mid,5,-1.0,0.1,0.05,0.499999999995,4,5.402103136167454,0.0004519836186829833
85,natops_train_27,0.9,edge,5,-1.0,0.1,0.09000000000000001,0.899999999991,4,5.402626467109012,0.0004802341269791927
86,natops_train_122,0.25,small,7,1.0,0.1,0.025,0.2499999999975,2,5.981498422499724,0.00044154555850396476
86,natops_train_122,0.5,mid,7,1.0,0.1,0.05,0.499999999995,2,5.98174739027074,0.00044334414122801824
86,natops_train_122,0.9,edge,7,1.0,0.1,0.09000000000000001,0.899999999991,2,5.98216640714506,0.00044882160748841327
87,natops_train_75,0.25,small,4,1.0,0.1,0.025,0.2499999999975,1,5.940737289843984,0.0004422004166625476
87,natops_train_75,0.5,mid,4,1.0,0.1,0.05,0.499999999995,1,5.938623368946826,0.00044638272338859994
87,natops_train_75,0.9,edge,4,1.0,0.1,0.09000000000000001,0.899999999991,1,5.935634823720224,0.0004597366400870989
88,natops_train_109,0.25,small,0,-1.0,0.1,0.025,0.2499999999975,3,5.722762039586571,0.0004414117865642192
88,natops_train_109,0.5,mid,0,-1.0,0.1,0.05,0.499999999995,3,5.719309891981952,0.0004444207479767328
88,natops_train_109,0.9,edge,0,-1.0,0.1,0.09000000000000001,0.899999999991,3,5.712611940123398,0.00045463116249723067
89,natops_train_150,0.25,small,5,-1.0,0.1,0.025,0.2499999999975,5,5.609729604853469,0.00044148739114661473
89,natops_train_150,0.5,mid,5,-1.0,0.1,0.05,0.499999999995,5,5.607912092599885,0.0004437466970300218
89,natops_train_150,0.9,edge,5,-1.0,0.1,0.09000000000000001,0.899999999991,5,5.605311976662633,0.000450980814184871
90,natops_train_160,0.25,small,6,-1.0,0.1,0.025,0.2499999999975,2,5.703542576809831,0.0004415923590114211
90,natops_train_160,0.5,mid,6,-1.0,0.1,0.05,0.499999999995,2,5.702734387338242,0.00044422579042185294
90,natops_train_160,0.9,edge,6,-1.0,0.1,0.09000000000000001,0.899999999991,2,5.701310246051709,0.0004527455430696431
91,natops_train_64,0.25,small,2,-1.0,0.1,0.025,0.2499999999975,0,5.7169630522512405,0.0004420910421779048
91,natops_train_64,0.5,mid,2,-1.0,0.1,0.05,0.499999999995,0,5.716062314644506,0.0004461533003480429
91,natops_train_64,0.9,edge,2,-1.0,0.1,0.09000000000000001,0.899999999991,0,5.715295974868045,0.00045936536067431826
92,natops_train_116,0.25,small,3,-1.0,0.1,0.025,0.2499999999975,4,5.443309234978582,0.0004407986591297928
92,natops_train_116,0.5,mid,3,-1.0,0.1,0.05,0.499999999995,4,5.454128139465764,0.0004417029983786092
92,natops_train_116,0.9,edge,3,-1.0,0.1,0.09000000000000001,0.899999999991,4,5.4691202256216975,0.00044496602501767633
93,natops_train_112,0.25,small,8,1.0,0.1,0.025,0.2499999999975,0,5.711905789994019,0.00044269754757975306
93,natops_train_112,0.5,mid,8,1.0,0.1,0.05,0.499999999995,0,5.710784789041892,0.0004481315217306476
93,natops_train_112,0.9,edge,8,1.0,0.1,0.09000000000000001,0.899999999991,0,5.70923586923189,0.00046537702212027116
94,natops_train_41,0.25,small,5,-1.0,0.1,0.025,0.2499999999975,3,5.72830213774073,0.0004426234129863801
94,natops_train_41,0.5,mid,5,-1.0,0.1,0.05,0.499999999995,3,5.72549553155239,0.0004482980198793711
94,natops_train_41,0.9,edge,5,-1.0,0.1,0.09000000000000001,0.899999999991,3,5.723074459469173,0.0004666769413547349
95,natops_train_103,0.25,small,9,-1.0,0.1,0.025,0.2499999999975,0,5.991736818428438,0.0004419837574720527
95,natops_train_103,0.5,mid,9,-1.0,0.1,0.05,0.499999999995,0,5.994711804094908,0.00044478552432891016
95,natops_train_103,0.9,edge,9,-1.0,0.1,0.09000000000000001,0.899999999991,0,5.999433734226998,0.00045296718199692244
96,natops_train_39,0.25,small,1,1.0,0.1,0.025,0.2499999999975,5,5.653924515698979,0.00044169957086073237
96,natops_train_39,0.5,mid,1,1.0,0.1,0.05,0.499999999995,5,5.662915963237206,0.0004433344213987776
96,natops_train_39,0.9,edge,1,1.0,0.1,0.09000000000000001,0.899999999991,5,5.676446350000947,0.0004476223775825731
97,natops_train_139,0.25,small,8,1.0,0.1,0.025,0.2499999999975,1,5.73935044344667,0.00044191377292136124
97,natops_train_139,0.5,mid,8,1.0,0.1,0.05,0.499999999995,1,5.7399065189861105,0.0004449296782516279
97,natops_train_139,0.9,edge,8,1.0,0.1,0.09000000000000001,0.899999999991,1,5.741017293663296,0.0004541296311774857
98,natops_train_125,0.25,small,4,-1.0,0.1,0.025,0.2499999999975,5,5.610189633165409,0.0004420380351854432
98,natops_train_125,0.5,mid,4,-1.0,0.1,0.05,0.499999999995,5,5.612268960069173,0.0004449780786286249
98,natops_train_125,0.9,edge,4,-1.0,0.1,0.09000000000000001,0.899999999991,5,5.616399784216945,0.0004537173447230854
99,natops_train_167,0.25,small,0,1.0,0.1,0.025,0.2499999999975,1,5.748345117777073,0.00044238209941168413
99,natops_train_167,0.5,mid,0,1.0,0.1,0.05,0.499999999995,1,5.752126184741196,0.0004454873266165249
99,natops_train_167,0.9,edge,0,1.0,0.1,0.09000000000000001,0.899999999991,1,5.757679889262441,0.00045379493638198295
100,natops_train_16,0.25,small,9,1.0,0.1,0.025,0.2499999999975,2,5.874983638428971,0.00044137850581374487
100,natops_train_16,0.5,mid,9,1.0,0.1,0.05,0.499999999995,2,5.869827762878773,0.00044318646943938725
100,natops_train_16,0.9,edge,9,1.0,0.1,0.09000000000000001,0.899999999991,2,5.861773759010254,0.0004491327182030494
101,natops_train_26,0.25,small,6,1.0,0.1,0.025,0.2499999999975,2,5.888850993072034,0.00044202707052874387
101,natops_train_26,0.5,mid,6,1.0,0.1,0.05,0.499999999995,2,5.891345804047924,0.0004448272006347616
101,natops_train_26,0.9,edge,6,1.0,0.1,0.09000000000000001,0.899999999991,2,5.894366640622406,0.0004529262951192579
102,natops_train_30,0.25,small,4,-1.0,0.1,0.025,0.2499999999975,2,6.292808566696966,0.00044225925020582055
102,natops_train_30,0.5,mid,4,-1.0,0.1,0.05,0.499999999995,2,6.294787993083112,0.0004460922901847206
102,natops_train_30,0.9,edge,4,-1.0,0.1,0.09000000000000001,0.899999999991,2,6.297771231585919,0.00045782698280361154
103,natops_train_171,0.25,small,6,-1.0,0.1,0.025,0.2499999999975,0,5.660011173563806,0.0004415551036378568
103,natops_train_171,0.5,mid,6,-1.0,0.1,0.05,0.499999999995,0,5.659617029000143,0.0004440384259660217
103,natops_train_171,0.9,edge,6,-1.0,0.1,0.09000000000000001,0.899999999991,0,5.658973330578796,0.0004521286413891712
104,natops_train_87,0.25,small,2,-1.0,0.1,0.025,0.2499999999975,4,5.639914660441511,0.0004416130123854783
104,natops_train_87,0.5,mid,2,-1.0,0.1,0.05,0.499999999995,4,5.639294096076303,0.0004441078791160098
104,natops_train_87,0.9,edge,2,-1.0,0.1,0.09000000000000001,0.899999999991,4,5.638414665747813,0.0004519790311619097
105,natops_train_17,0.25,small,6,1.0,0.1,0.025,0.2499999999975,1,6.2298119013323,0.0004423633080016357
105,natops_train_17,0.5,mid,6,1.0,0.1,0.05,0.499999999995,1,6.230505860476378,0.00044621554079767923
105,natops_train_17,0.9,edge,6,1.0,0.1,0.09000000000000001,0.899999999991,1,6.2317188456992785,0.00045774701823311293
106,natops_train_140,0.25,small,6,-1.0,0.1,0.025,0.2499999999975,0,5.857001847437423,0.0004415886754270203
106,natops_train_140,0.5,mid,6,-1.0,0.1,0.05,0.499999999995,0,5.858256666987713,0.00044420951747308255
106,natops_train_140,0.9,edge,6,-1.0,0.1,0.09000000000000001,0.899999999991,0,5.859982944575406,0.00045267401381129393
107,natops_train_178,0.25,small,5,-1.0,0.1,0.025,0.2499999999975,3,5.644966371996601,0.00044180214212211424
107,natops_train_178,0.5,mid,5,-1.0,0.1,0.05,0.499999999995,3,5.643231408724169,0.0004449997439220883
107,natops_train_178,0.9,edge,5,-1.0,0.1,0.09000000000000001,0.899999999991,3,5.6410430913562015,0.0004552668957330365
108,natops_train_69,0.25,small,3,1.0,0.1,0.025,0.2499999999975,0,5.956992606247934,0.0004424339705631203
108,natops_train_69,0.5,mid,3,1.0,0.1,0.05,0.499999999995,0,5.958217527068577,0.00044607276102512567
108,natops_train_69,0.9,edge,3,1.0,0.1,0.09000000000000001,0.899999999991,0,5.960441223050752,0.0004564095151998597
109,natops_train_170,0.25,small,8,-1.0,0.1,0.025,0.2499999999975,3,5.66047536325207,0.0004419243979946712
109,natops_train_170,0.5,mid,8,-1.0,0.1,0.05,0.499999999995,3,5.662081447400665,0.0004451648458862471
109,natops_train_170,0.9,edge,8,-1.0,0.1,0.09000000000000001,0.899999999991,3,5.663504068690604,0.0004550307354567326
110,natops_train_153,0.25,small,0,1.0,0.1,0.025,0.2499999999975,4,5.400471665384146,0.00044404601344787603
110,natops_train_153,0.5,mid,0,1.0,0.1,0.05,0.499999999995,4,5.40230717049929,0.00045215356247843216
110,natops_train_153,0.9,edge,0,1.0,0.1,0.09000000000000001,0.899999999991,4,5.405966361320119,0.0004772980558091714
111,natops_train_101,0.25,small,7,-1.0,0.1,0.025,0.2499999999975,3,5.547552903353713,0.0004419152697082097
111,natops_train_101,0.5,mid,7,-1.0,0.1,0.05,0.499999999995,3,5.55003538106818,0.00044505399840188677
111,natops_train_101,0.9,edge,7,-1.0,0.1,0.09000000000000001,0.899999999991,3,5.554389144402925,0.00045452501831084227
112,natops_train_166,0.25,small,0,1.0,0.1,0.025,0.2499999999975,4,5.509787591488677,0.00044303502789671076
112,natops_train_166,0.5,mid,0,1.0,0.1,0.05,0.499999999995,4,5.511213328379042,0.0004482483597613429
112,natops_train_166,0.9,edge,0,1.0,0.1,0.09000000000000001,0.899999999991,4,5.5106854621822485,0.0004627814574234847
113,natops_train_124,0.25,small,1,1.0,0.1,0.025,0.2499999999975,0,5.623349294490101,0.00044305929040104494
113,natops_train_124,0.5,mid,1,1.0,0.1,0.05,0.499999999995,0,5.625975981170756,0.0004487041959004081
113,natops_train_124,0.9,edge,1,1.0,0.1,0.09000000000000001,0.899999999991,0,5.630494550214464,0.0004660343545050292
114,natops_train_119,0.25,small,0,1.0,0.1,0.025,0.2499999999975,5,5.792421356746808,0.0004429814738841202
114,natops_train_119,0.5,mid,0,1.0,0.1,0.05,0.499999999995,5,5.795605777301974,0.0004478194777846714
114,natops_train_119,0.9,edge,0,1.0,0.1,0.09000000000000001,0.899999999991,5,5.801724490692739,0.00046197816140032327
115,natops_train_92,0.25,small,5,1.0,0.1,0.025,0.2499999999975,0,5.792139108463606,0.0004430672581388725
115,natops_train_92,0.5,mid,5,1.0,0.1,0.05,0.499999999995,0,5.791549171622051,0.00044920729622157166
115,natops_train_92,0.9,edge,5,1.0,0.1,0.09000000000000001,0.899999999991,0,5.79073522211557,0.0004683315000939034
116,natops_train_12,0.25,small,8,1.0,0.1,0.025,0.2499999999975,3,5.490044315349631,0.00044182644266115923
116,natops_train_12,0.5,mid,8,1.0,0.1,0.05,0.499999999995,3,5.495762320429232,0.0004445988405273808
116,natops_train_12,0.9,edge,8,1.0,0.1,0.09000000000000001,0.899999999991,3,5.503220574763481,0.00045282594888773695
117,natops_train_36,0.25,small,5,-1.0,0.1,0.025,0.2499999999975,2,5.854952112209382,0.00044146918365188954
117,natops_train_36,0.5,mid,5,-1.0,0.1,0.05,0.499999999995,2,5.856333371651097,0.00044367893282233904
117,natops_train_36,0.9,edge,5,-1.0,0.1,0.09000000000000001,0.899999999991,2,5.858590565394934,0.0004508459822547163
118,natops_train_148,0.25,small,4,-1.0,0.1,0.025,0.2499999999975,1,5.923680893818342,0.0004424140994703613
118,natops_train_148,0.5,mid,4,-1.0,0.1,0.05,0.499999999995,1,5.924979569252204,0.00044673145236454715
118,natops_train_148,0.9,edge,4,-1.0,0.1,0.09000000000000001,0.899999999991,1,5.927195781250052,0.00046012832090458944
119,natops_train_56,0.25,small,9,-1.0,0.1,0.025,0.2499999999975,4,5.533611027012777,0.0004428031056529989
119,natops_train_56,0.5,mid,9,-1.0,0.1,0.05,0.499999999995,4,5.536183463788186,0.0004480578880168602
119,natops_train_56,0.9,edge,9,-1.0,0.1,0.09000000000000001,0.899999999991,4,5.539306124166185,0.00046363727457011256
120,natops_train_120,0.25,small,2,1.0,0.1,0.025,0.2499999999975,2,5.8225094781398905,0.0004419389163165421
120,natops_train_120,0.5,mid,2,1.0,0.1,0.05,0.499999999995,2,5.822506228483204,0.00044460242178400344
120,natops_train_120,0.9,edge,2,1.0,0.1,0.09000000000000001,0.899999999991,2,5.823318646344688,0.0004525454274916548
