dataset,prototype_geometry_mode,class_idx,tangent_source,requested_tangent_rank,actual_tangent_rank,rank95,effective_rank,top1_energy_ratio,top1_top2_spectral_gap,singular_values,energy_probs,cumulative_energy,run_dir
articularywordrecognition,center_subproto,13,subproto_offsets,3,3,4,3.7837088108062744,0.3739462196826935,0.10166466236114502,"[1.169314980506897, 0.9977828860282898, 0.8635907173156738, 0.7400974631309509]","[0.3739462196826935, 0.27228155732154846, 0.20396801829338074, 0.14980418980121613]","[0.3739462196826935, 0.6462277770042419, 0.8501957654953003, 0.9999999403953552]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_articularywordrecognition_seed1
articularywordrecognition,center_subproto,14,subproto_offsets,3,3,4,3.83280873298645,0.3722630441188812,0.12195280194282532,"[1.1265442371368408, 0.9237673878669739, 0.8183801174163818, 0.785467803478241]","[0.3722630441188812, 0.2503102421760559, 0.1964552104473114, 0.18097150325775146]","[0.3722630441188812, 0.6225732564926147, 0.8190284967422485, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_articularywordrecognition_seed1
articularywordrecognition,center_subproto,15,subproto_offsets,3,3,4,3.936553716659546,0.31598934531211853,0.04957738518714905,"[0.9893907308578491, 0.908465564250946, 0.8176064491271973, 0.7906873226165771]","[0.31598934531211853, 0.2664119601249695, 0.21578703820705414, 0.20181168615818024]","[0.31598934531211853, 0.5824012756347656, 0.798188328742981, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_articularywordrecognition_seed1
articularywordrecognition,center_subproto,16,subproto_offsets,3,3,4,3.7870895862579346,0.3498029410839081,0.04165181517601013,"[1.1012073755264282, 1.0335685014724731, 0.8161358833312988, 0.7208943367004395]","[0.3498029410839081, 0.30815112590789795, 0.19213663041591644, 0.14990925788879395]","[0.3498029410839081, 0.6579540967941284, 0.850090742111206, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_articularywordrecognition_seed1
articularywordrecognition,center_subproto,17,subproto_offsets,3,3,4,3.937830924987793,0.3051466941833496,0.030377119779586792,"[1.033385157585144, 0.9806007146835327, 0.8985792994499207, 0.8140462040901184]","[0.3051466941833496, 0.2747695744037628, 0.23072627186775208, 0.1893574297428131]","[0.3051466941833496, 0.57991623878479, 0.8106424808502197, 0.9999998807907104]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_articularywordrecognition_seed1
articularywordrecognition,center_subproto,18,subproto_offsets,3,3,4,3.798772096633911,0.37392303347587585,0.10568547248840332,"[1.1019524335861206, 0.9333221316337585, 0.8005129098892212, 0.7219746112823486]","[0.37392303347587585, 0.26823756098747253, 0.1973300278186798, 0.16050934791564941]","[0.37392303347587585, 0.6421605944633484, 0.8394906520843506, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_articularywordrecognition_seed1
articularywordrecognition,center_subproto,19,subproto_offsets,3,3,4,3.9077723026275635,0.30036959052085876,0.013518929481506348,"[1.0709960460662842, 1.046617031097412, 0.9703828692436218, 0.7966518402099609]","[0.30036959052085876, 0.2868506610393524, 0.2465849071741104, 0.16619478166103363]","[0.30036959052085876, 0.5872202515602112, 0.8338051438331604, 0.9999999403953552]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_articularywordrecognition_seed1
articularywordrecognition,center_subproto,20,subproto_offsets,3,3,4,3.8863861560821533,0.3313647210597992,0.07103762030601501,"[1.144110918045044, 1.0140857696533203, 0.9807590246200562, 0.8068774938583374]","[0.3313647210597992, 0.2603271007537842, 0.2434975653886795, 0.16481062769889832]","[0.3313647210597992, 0.5916918516159058, 0.8351894021034241, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_articularywordrecognition_seed1
articularywordrecognition,center_subproto,21,subproto_offsets,3,3,4,3.7743234634399414,0.33605045080184937,0.0132102370262146,"[1.0832979679107666, 1.0617921352386475, 0.8438311815261841, 0.6922063827514648]","[0.33605045080184937, 0.32284021377563477, 0.20390117168426514, 0.13720811903476715]","[0.33605045080184937, 0.6588906645774841, 0.8627918362617493, 0.9999999403953552]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_articularywordrecognition_seed1
articularywordrecognition,center_subproto,22,subproto_offsets,3,3,4,3.886486053466797,0.330653578042984,0.05566713213920593,"[1.101803183555603, 1.0047848224639893, 0.9074430465698242, 0.7901967763900757]","[0.330653578042984, 0.2749864459037781, 0.22428689897060394, 0.17007310688495636]","[0.330653578042984, 0.6056400537490845, 0.8299269676208496, 1.0000001192092896]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_articularywordrecognition_seed1
articularywordrecognition,center_subproto,23,subproto_offsets,3,3,4,3.956636428833008,0.2967052757740021,0.021889328956604004,"[1.019122838973999, 0.9808099865913391, 0.8795978426933289, 0.852167546749115]","[0.2967052757740021, 0.27481594681739807, 0.2210245430469513, 0.20745418965816498]","[0.2967052757740021, 0.5715212225914001, 0.7925457954406738, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_articularywordrecognition_seed1
articularywordrecognition,center_subproto,24,subproto_offsets,3,3,4,3.9112555980682373,0.3055662512779236,0.02210444211959839,"[1.1455752849578857, 1.1033625602722168, 1.0168582201004028, 0.8550072908401489]","[0.3055662512779236, 0.2834618091583252, 0.24075698852539062, 0.1702149510383606]","[0.3055662512779236, 0.5890280604362488, 0.8297850489616394, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_articularywordrecognition_seed1
heartbeat,center_subproto,0,subproto_offsets,3,3,4,3.992483615875244,0.2695558965206146,0.009974092245101929,"[0.8531545400619507, 0.8372215628623962, 0.8049916625022888, 0.7895833253860474]","[0.2695558965206146, 0.2595818042755127, 0.23998062312602997, 0.23088161647319794]","[0.2695558965206146, 0.5291377305984497, 0.7691183686256409, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_heartbeat_seed1
heartbeat,center_subproto,1,subproto_offsets,3,3,4,3.963299512863159,0.29556339979171753,0.0291292667388916,"[0.883410632610321, 0.8387494087219238, 0.782432496547699, 0.7377762794494629]","[0.29556339979171753, 0.2664341330528259, 0.23185645043849945, 0.20614595711231232]","[0.29556339979171753, 0.5619975328445435, 0.7938539981842041, 0.9999999403953552]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_heartbeat_seed1
selfregulationscp2,center_subproto,0,subproto_offsets,3,3,4,3.9826467037200928,0.28915277123451233,0.04265487194061279,"[0.8727355003356934, 0.8057968616485596, 0.7902467250823975, 0.7737367749214172]","[0.28915277123451233, 0.24649789929389954, 0.23707595467567444, 0.2272733747959137]","[0.28915277123451233, 0.5356506705284119, 0.7727266550064087, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_selfregulationscp2_seed1
selfregulationscp2,center_subproto,1,subproto_offsets,3,3,4,3.9908528327941895,0.2720496952533722,0.016521722078323364,"[0.8565133213996887, 0.8300976753234863, 0.8164128065109253, 0.779367983341217]","[0.2720496952533722, 0.25552797317504883, 0.24717222154140472, 0.22525016963481903]","[0.2720496952533722, 0.5275776386260986, 0.7747498750686646, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_selfregulationscp2_seed1
libras,center_subproto,0,subproto_offsets,3,3,4,3.8747901916503906,0.3377050459384918,0.05788141489028931,"[1.01296067237854, 0.9220744371414185, 0.7918707728385925, 0.7314702272415161]","[0.3377050459384918, 0.2798236310482025, 0.20637688040733337, 0.17609445750713348]","[0.3377050459384918, 0.6175286769866943, 0.8239055871963501, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_libras_seed1
libras,center_subproto,1,subproto_offsets,3,3,4,3.9253203868865967,0.31387364864349365,0.03911179304122925,"[1.0140211582183838, 0.9487413167953491, 0.8578576445579529, 0.7821096181869507]","[0.31387364864349365, 0.2747618556022644, 0.22464217245578766, 0.1867222636938095]","[0.31387364864349365, 0.5886355042457581, 0.8132776618003845, 0.9999999403953552]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_libras_seed1
libras,center_subproto,2,subproto_offsets,3,3,4,3.9441092014312744,0.28813600540161133,0.017579764127731323,"[1.0136075019836426, 0.9821997284889221, 0.9619969725608826, 0.805060863494873]","[0.28813600540161133, 0.27055624127388, 0.2595406174659729, 0.18176712095737457]","[0.28813600540161133, 0.558692216873169, 0.8182328343391418, 0.9999999403953552]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_libras_seed1
libras,center_subproto,3,subproto_offsets,3,3,4,3.895836591720581,0.3302004039287567,0.06410086154937744,"[1.0281091928482056, 0.9229379296302795, 0.86020827293396, 0.7431895732879639]","[0.3302004039287567, 0.2660995423793793, 0.2311566323041916, 0.17254339158535004]","[0.3302004039287567, 0.596299946308136, 0.8274565935134888, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_libras_seed1
libras,center_subproto,4,subproto_offsets,3,3,4,3.9244866371154785,0.325762540102005,0.06342512369155884,"[1.0443686246871948, 0.9372023344039917, 0.8351731896400452, 0.8255870342254639]","[0.325762540102005, 0.26233741641044617, 0.20832747220993042, 0.20357254147529602]","[0.325762540102005, 0.5880999565124512, 0.7964274287223816, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_libras_seed1
libras,center_subproto,5,subproto_offsets,3,3,4,3.9853298664093018,0.2765348553657532,0.013340681791305542,"[0.9335290789604187, 0.9107329249382019, 0.8680450320243835, 0.8348672389984131]","[0.2765348553657532, 0.26319417357444763, 0.23909951746463776, 0.22117142379283905]","[0.2765348553657532, 0.5397289991378784, 0.778828501701355, 0.9999999403953552]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_libras_seed1
libras,center_subproto,6,subproto_offsets,3,3,4,3.958592176437378,0.3052442967891693,0.0524023175239563,"[0.9793135523796082, 0.8912972211837769, 0.8630842566490173, 0.8022130727767944]","[0.3052442967891693, 0.252841979265213, 0.23708845674991608, 0.2048252522945404]","[0.3052442967891693, 0.5580862760543823, 0.7951747179031372, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_libras_seed1
libras,center_subproto,7,subproto_offsets,3,3,4,3.959674835205078,0.2974025309085846,0.030000776052474976,"[0.989366352558136, 0.9381384253501892, 0.8732380867004395, 0.8184266090393066]","[0.2974025309085846, 0.2674017548561096, 0.23168382048606873, 0.20351192355155945]","[0.2974025309085846, 0.5648043155670166, 0.7964881658554077, 1.0000001192092896]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_libras_seed1
libras,center_subproto,8,subproto_offsets,3,3,4,3.879347801208496,0.3509061336517334,0.09580352902412415,"[1.0545037984848022, 0.8991043567657471, 0.8071588277816772, 0.7726606726646423]","[0.3509061336517334, 0.25510260462760925, 0.20559504628181458, 0.18839626014232635]","[0.3509061336517334, 0.606008768081665, 0.8116037845611572, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_libras_seed1
libras,center_subproto,9,subproto_offsets,3,3,4,3.864638566970825,0.3239949643611908,0.020712733268737793,"[1.0509129762649536, 1.0167661905288696, 0.829945981502533, 0.7626983523368835]","[0.3239949643611908, 0.303282231092453, 0.2020712047815323, 0.1706516146659851]","[0.3239949643611908, 0.6272771954536438, 0.8293483853340149, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_libras_seed1
libras,center_subproto,10,subproto_offsets,3,3,4,3.9306490421295166,0.3145250082015991,0.03957509994506836,"[1.00731360912323, 0.9418113231658936, 0.8208069205284119, 0.8066350221633911]","[0.3145250082015991, 0.27494990825653076, 0.20883716642856598, 0.20168793201446533]","[0.3145250082015991, 0.5894749164581299, 0.7983120679855347, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_libras_seed1
libras,center_subproto,11,subproto_offsets,3,3,4,3.854341506958008,0.3609733581542969,0.10841837525367737,"[1.060564637184143, 0.8871101140975952, 0.8089771270751953, 0.7414894104003906]","[0.3609733581542969, 0.2525549829006195, 0.21002613008022308, 0.17644557356834412]","[0.3609733581542969, 0.6135283708572388, 0.823554515838623, 1.0000001192092896]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_libras_seed1
libras,center_subproto,12,subproto_offsets,3,3,4,3.8638672828674316,0.32417091727256775,0.04571470618247986,"[1.049583911895752, 0.9727664589881897, 0.9154555797576904, 0.7157713770866394]","[0.32417091727256775, 0.2784562110900879, 0.24661202728748322, 0.15076078474521637]","[0.32417091727256775, 0.602627158164978, 0.8492391705513, 0.9999999403953552]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_libras_seed1
libras,center_subproto,13,subproto_offsets,3,3,4,3.944950819015503,0.2994106709957123,0.03479224443435669,"[1.004514455795288, 0.9443491697311401, 0.9169117212295532, 0.7928091287612915]","[0.2994106709957123, 0.2646184265613556, 0.24946516752243042, 0.18650572001934052]","[0.2994106709957123, 0.5640290975570679, 0.8134942650794983, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_libras_seed1
libras,center_subproto,14,subproto_offsets,3,3,4,3.963207721710205,0.2890879511833191,0.02995288372039795,"[0.9917659163475037, 0.9389820098876953, 0.9314705729484558, 0.8182293176651001]","[0.2890879511833191, 0.25913506746292114, 0.25500571727752686, 0.1967712789773941]","[0.2890879511833191, 0.5482230186462402, 0.8032287359237671, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_libras_seed1
