dataset,method,macro_f1_mean,macro_f1_std_over_seeds,gain_vs_no_aug,rank_in_dataset,is_dataset_winner,gap_vs_best_external_dataset,actual_aug_ratio,method_elapsed_sec_mean,fallback_count_mean,n_seeds,best_external_method,best_external_f1
handwriting,pca_cov_state,0.4674405889172227,0.038831278159894116,0.06734057122944637,5.0,False,-0.02967968005588295,10.0,,,3,raw_aug_jitter,0.49712026897310563
handwriting,raw_aug_timewarp,0.46740003184067774,0.021279748823811777,0.06730001415290143,6.0,False,-0.029720237132427885,10.0,,,3,raw_aug_jitter,0.49712026897310563
handwriting,raw_aug_window_slicing,0.4658683765467638,0.014351308014478224,0.06576835885898746,7.0,False,-0.031251892426341854,10.0,1.6920187893362406,0.0,3,raw_aug_jitter,0.49712026897310563
handwriting,random_cov_state,0.4643840351655004,0.015589582982105032,0.06428401747772411,8.0,False,-0.03273623380760521,10.0,,,3,raw_aug_jitter,0.49712026897310563
handwriting,csta_top1_current,0.46049183816916345,0.024938794741042842,0.06039182048138714,9.0,False,-0.03662843080394218,10.0,,,3,raw_aug_jitter,0.49712026897310563
handwriting,raw_aug_scaling,0.45070560380102914,0.03034591892468749,0.05060558611325283,10.0,False,-0.046414665172076486,10.0,,,3,raw_aug_jitter,0.49712026897310563
handwriting,raw_aug_magnitude_warping,0.44633543226444,0.014809261656393076,0.04623541457666369,11.0,False,-0.050784836708665626,10.0,2.4375378419839158,0.0,3,raw_aug_jitter,0.49712026897310563
handwriting,spawner_sameclass_style,0.4453235878703865,0.0144274840369021,0.045223570182610195,12.0,False,-0.05179668110271912,10.0,6.057279429330568,0.0,3,raw_aug_jitter,0.49712026897310563
handwriting,raw_smote_flatten_balanced,0.427791762958615,0.04092412858085549,0.027691745270838675,13.0,False,-0.06932850601449064,0.9499999999999998,,,3,raw_aug_jitter,0.49712026897310563
handwriting,wdba_sameclass,0.40327345356016026,0.04011341520294545,0.003173435872383945,14.0,False,-0.09384681541294537,10.0,21.304675023333402,400.0,3,raw_aug_jitter,0.49712026897310563
handwriting,no_aug,0.4001000176877763,0.01581157827429161,0.0,15.0,False,-0.09702025128532932,0.0,,,3,raw_aug_jitter,0.49712026897310563
handwriting,dba_sameclass,0.38789929123753014,0.032872939476993886,-0.012200726450246169,16.0,False,-0.10922097773557549,10.0,,,3,raw_aug_jitter,0.49712026897310563
handwriting,raw_mixup,0.3597628913762043,0.04007175081421775,-0.04033712631157199,17.0,False,-0.1373573775969013,10.0,,,3,raw_aug_jitter,0.49712026897310563
japanesevowels,random_cov_state,0.9839705286795409,0.009416793921985411,0.017819569647162137,1.0,True,0.0,10.0,,,3,random_cov_state,0.9839705286795409
japanesevowels,raw_aug_jitter,0.982607499733312,0.0029554286773553697,0.016456540700933164,2.0,False,-0.0013630289462289724,10.0,,,3,random_cov_state,0.9839705286795409
japanesevowels,spawner_sameclass_style,0.9814956375323926,0.004806264483097556,0.015344678500013753,3.0,False,-0.0024748911471483837,10.0,7.663520512656153,0.0,3,random_cov_state,0.9839705286795409
japanesevowels,dba_sameclass,0.9800850697535949,0.002614689611056866,0.013934110721216086,4.0,False,-0.0038854589259460504,10.0,,,3,random_cov_state,0.9839705286795409
japanesevowels,best_rawaug,0.979392579098389,0.003419371325838234,0.013241620066010151,5.0,False,-0.0045779495811519855,10.0,8.344488625007216,0.0,3,random_cov_state,0.9839705286795409
japanesevowels,raw_aug_window_slicing,0.978106181693868,0.0096127901652042,0.011955222661489184,6.0,False,-0.005864346985672952,10.0,3.9257322293415204,0.0,3,random_cov_state,0.9839705286795409
japanesevowels,raw_aug_timewarp,0.9771057924292766,0.005607513592794003,0.010954833396897845,7.0,False,-0.006864736250264292,10.0,,,3,random_cov_state,0.9839705286795409
japanesevowels,raw_mixup,0.9768844693938915,0.009413944785508234,0.01073351036151271,8.0,False,-0.0070860592856494264,10.0,,,3,random_cov_state,0.9839705286795409
japanesevowels,raw_aug_scaling,0.976410358079742,0.009114908015780404,0.010259399047363171,9.0,False,-0.0075601705997989654,10.0,,,3,random_cov_state,0.9839705286795409
japanesevowels,raw_aug_magnitude_warping,0.9752613721031892,0.0014082178560424173,0.009110413070810397,10.0,False,-0.00870915657635174,10.0,8.130972484330414,0.0,3,random_cov_state,0.9839705286795409
japanesevowels,wdba_sameclass,0.9748549646117772,0.007682807272662324,0.008704005579398433,11.0,False,-0.009115564067763704,10.0,17.48485302766009,0.0,3,random_cov_state,0.9839705286795409
japanesevowels,raw_aug_window_warping,0.9743241056043322,0.010738933506217418,0.008173146571953449,12.0,False,-0.009646423075208688,10.0,4.32122000399977,0.0,3,random_cov_state,0.9839705286795409
japanesevowels,csta_top1_current,0.97049413005379,0.010967015577437381,0.004343171021411241,13.0,False,-0.013476398625750896,10.0,,,3,random_cov_state,0.9839705286795409
japanesevowels,pca_cov_state,0.9701810617784151,0.008767104124671599,0.004030102746036324,14.0,False,-0.013789466901125813,10.0,,,3,random_cov_state,0.9839705286795409
japanesevowels,csta_group_template_top,0.9698710284725901,0.0018939467377834278,0.0037200694402113044,15.0,False,-0.014099500206950832,10.0,,,3,random_cov_state,0.9839705286795409
japanesevowels,no_aug,0.9661509590323788,0.009167563041868563,0.0,16.5,False,-0.017819569647162137,0.0,,,3,random_cov_state,0.9839705286795409
japanesevowels,raw_smote_flatten_balanced,0.9661509590323788,0.009167563041868563,0.0,16.5,False,-0.017819569647162137,0.0,,,3,random_cov_state,0.9839705286795409
natops,csta_group_template_top,0.9659304125637961,0.015946780072489394,0.04428788028061992,1.0,True,0.0033779501003751156,10.0,,,3,best_rawaug,0.962552462463421
natops,best_rawaug,0.962552462463421,0.008483221292069562,0.0409099301802448,2.5,False,0.0,10.0,,,3,best_rawaug,0.962552462463421
natops,raw_aug_jitter,0.962552462463421,0.008483221292069562,0.0409099301802448,2.5,False,0.0,10.0,,,3,best_rawaug,0.962552462463421
natops,csta_top1_current,0.9607853534384795,0.00026791583104566216,0.03914282115530332,4.0,False,-0.0017671090249414823,10.0,,,3,best_rawaug,0.962552462463421
natops,raw_aug_window_slicing,0.9593027544681579,0.028105022407811986,0.03766022218498177,5.0,False,-0.0032497079952630292,10.0,3.639061568004157,0.0,3,best_rawaug,0.962552462463421
natops,dba_sameclass,0.9572815415000319,0.003189264695032343,0.0356390092168557,6.0,False,-0.005270920963389103,10.0,,,3,best_rawaug,0.962552462463421
natops,spawner_sameclass_style,0.9570973167060624,0.013076201620019146,0.03545478442288619,7.0,False,-0.005455145757358615,10.0,3.3715542300002803,0.0,3,best_rawaug,0.962552462463421
natops,random_cov_state,0.9535241013126406,0.011625995422057398,0.031881569029464485,8.0,False,-0.009028361150780317,10.0,,,3,best_rawaug,0.962552462463421
natops,raw_aug_scaling,0.9532802159934782,0.027640831394789664,0.03163768371030207,9.0,False,-0.009272246469942735,10.0,,,3,best_rawaug,0.962552462463421
natops,pca_cov_state,0.9512742307142527,0.023066197393943336,0.029631698431076492,10.0,False,-0.01127823174916831,10.0,,,3,best_rawaug,0.962552462463421
natops,wdba_sameclass,0.9471451759840152,0.011636287485505716,0.02550264370083899,11.0,False,-0.015407286479405813,10.0,7.700515409330062,0.0,3,best_rawaug,0.962552462463421
natops,raw_aug_magnitude_warping,0.9453827315496072,0.01481503118125576,0.023740199266431006,12.0,False,-0.017169730913813797,10.0,7.196890224663851,0.0,3,best_rawaug,0.962552462463421
