dataset,label,prototype_geometry_mode,prob_tangent_version,rank_selection_mode,subproto_temperature,test_acc,test_macro_f1,final_acc,local_acc,final_override_rate,helpful_override_rate,harmful_override_rate,selected_rank_distribution,mean_selected_rank,k0_fallback_rate,lw_shrinkage_alpha_mean,ppca_sigma2_mean,posterior_confidence_mean,posterior_confidence_far_decay_mean,run_dir,E0_acc
basicmotions,center_prob_tangent_v3,center_prob_tangent,v3,mdl,1.0,1.0,1.0,1.0,0.75,0.0,0.0,0.0,"{""0"": 20, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 20}",2.0,0.5,0.3776615560054779,0.0016746638537483705,0.0,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_prob_tangent_v3_basicmotions_seed1,1.0
handmovementdirection,center_only,center_only,v1,mdl,1.0,0.35135135135135137,0.3388752913752914,0.35135135135135137,0.36486486486486486,0.02702702702702703,0.0,0.013513513513513514,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_only_handmovementdirection_seed1,0.35135135135135137
handmovementdirection,best_center_subproto,center_subproto,v1,mdl,0.2,0.33783783783783783,0.331338001388057,0.33783783783783783,0.3108108108108108,0.013513513513513514,0.0,0.013513513513513514,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/best_center_subproto_handmovementdirection_seed1,0.35135135135135137
handmovementdirection,center_prob_tangent_v3,center_prob_tangent,v3,mdl,1.0,0.3783783783783784,0.3661004346831388,0.3783783783783784,0.3108108108108108,0.04054054054054054,0.0,0.013513513513513514,"{""0"": 23, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 51}",2.7567567567567566,0.3108108108108108,0.5335478009404363,0.0023389243390145543,6.895655098199774e-17,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_prob_tangent_v3_handmovementdirection_seed1,0.35135135135135137
uwavegesturelibrary,center_only,center_only,v1,mdl,1.0,0.79375,0.7883711866089211,0.79375,0.81875,0.0125,0.003125,0.00625,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_only_uwavegesturelibrary_seed1,0.815625
uwavegesturelibrary,best_center_subproto,center_subproto,v1,mdl,0.1,0.796875,0.7895226466186778,0.796875,0.8125,0.01875,0.0125,0.00625,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/best_center_subproto_uwavegesturelibrary_seed1,0.815625
uwavegesturelibrary,center_prob_tangent_v3,center_prob_tangent,v3,mdl,1.0,0.803125,0.7965521649541617,0.803125,0.353125,0.009375,0.00625,0.0,"{""0"": 171, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 149}",1.8625,0.534375,0.3604284146800637,0.001573545245195973,4.083734235505397e-19,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_prob_tangent_v3_uwavegesturelibrary_seed1,0.815625
epilepsy,center_only,center_only,v1,mdl,1.0,0.9637681159420289,0.9644964367352428,0.9637681159420289,0.855072463768116,0.0,0.0,0.0,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_only_epilepsy_seed1,0.9347826086956522
epilepsy,best_center_subproto,center_subproto,v1,mdl,0.5,0.9855072463768116,0.9858452950558214,0.9855072463768116,0.7681159420289855,0.0,0.0,0.0,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/best_center_subproto_epilepsy_seed1,0.9347826086956522
epilepsy,center_prob_tangent_v3,center_prob_tangent,v3,mdl,1.0,0.9782608695652174,0.9777842304373798,0.9782608695652174,0.7246376811594203,0.007246376811594203,0.0,0.0,"{""0"": 70, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 68}",1.9710144927536233,0.5072463768115942,0.3802970410257146,0.0016678490492251408,3.6472233955876704e-30,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_prob_tangent_v3_epilepsy_seed1,0.9347826086956522
atrialfibrillation,center_only,center_only,v1,mdl,1.0,0.13333333333333333,0.10683760683760683,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_only_atrialfibrillation_seed1,0.26666666666666666
atrialfibrillation,best_center_subproto,center_subproto,v1,mdl,1.0,0.13333333333333333,0.10683760683760683,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/best_center_subproto_atrialfibrillation_seed1,0.26666666666666666
atrialfibrillation,center_prob_tangent_v3,center_prob_tangent,v3,mdl,1.0,0.13333333333333333,0.10683760683760683,0.13333333333333333,0.26666666666666666,0.0,0.0,0.0,"{""0"": 8, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 7}",1.8666666666666667,0.5333333333333333,0.3519873062769572,0.0015430564951505706,4.980287202564479e-31,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_prob_tangent_v3_atrialfibrillation_seed1,0.26666666666666666
pendigits,center_only,center_only,v1,mdl,1.0,0.9842767295597484,0.9842023738491559,0.9842767295597484,0.9777015437392796,0.0011435105774728416,0.0005717552887364208,0.0005717552887364208,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_only_pendigits_seed1,0.9888507718696398
pendigits,best_center_subproto,center_subproto,v1,mdl,0.1,0.9917095483133219,0.9917244829479369,0.9917095483133219,0.9894225271583762,0.0005717552887364208,0.0,0.0005717552887364208,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/best_center_subproto_pendigits_seed1,0.9888507718696398
pendigits,center_prob_tangent_v3,center_prob_tangent,v3,mdl,1.0,0.9831332189822756,0.9831124330858566,0.9831332189822756,0.20754716981132076,0.0011435105774728416,0.0005717552887364208,0.0005717552887364208,"{""0"": 3097, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 401}",0.4585477415666095,0.8853630646083476,0.08873543698764515,0.00038758746332627194,6.239316072942881e-33,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_prob_tangent_v3_pendigits_seed1,0.9888507718696398
racketsports,center_only,center_only,v1,mdl,1.0,0.881578947368421,0.8897999157722853,0.881578947368421,0.875,0.0,0.0,0.0,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_only_racketsports_seed1,0.8881578947368421
racketsports,best_center_subproto,center_subproto,v1,mdl,0.2,0.8092105263157895,0.8191743131758247,0.8092105263157895,0.8092105263157895,0.019736842105263157,0.013157894736842105,0.006578947368421052,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/best_center_subproto_racketsports_seed1,0.8881578947368421
racketsports,center_prob_tangent_v3,center_prob_tangent,v3,mdl,1.0,0.875,0.8843710326188271,0.875,0.6578947368421053,0.006578947368421052,0.006578947368421052,0.0,"{""0"": 65, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 87}",2.289473684210526,0.4276315789473684,0.43214340429556997,0.001913384273822173,1.5224299563515527e-17,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_prob_tangent_v3_racketsports_seed1,0.8881578947368421
articularywordrecognition,center_only,center_only,v1,mdl,1.0,0.97,0.9697720887807845,0.97,0.98,0.006666666666666667,0.0033333333333333335,0.0,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_only_articularywordrecognition_seed1,0.98
