anchor_index,tid,tier_ratio,tier_label,cA_direction_id,cA_sign,cA_safe_upper_bound,cA_gamma_used,safe_radius_ratio_A,cDm_direction_id,cDm_sign,cDm_safe_upper_bound,cDm_gamma_used,safe_radius_ratio_Dm,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro,cDm_transport_error_logeuc,cDm_transport_error_fro,dual_transport_error_logeuc
27,handwriting_train_118,0.9,edge,5,1.0,0.1,0.09000000000000001,0.899999999991,1,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,17,7.314567544305273e-05,0.00015848551378827512,0.0008549436605815941,0.0001566144194646413,0.00046404466801232345
28,handwriting_train_104,0.25,small,2,-1.0,0.1,0.025,0.2499999999975,5,1.0,0.05,0.0125,0.249999999995,0.24999999999625,3,8.595169360809859e-05,0.000154604680311673,0.0008118475438211068,0.0001570878676581528,0.0004488996187146027
28,handwriting_train_104,0.5,mid,2,-1.0,0.1,0.05,0.499999999995,5,1.0,0.05,0.025,0.49999999999,0.4999999999925,3,8.566919351468578e-05,0.0001534670713592411,0.0008133152924682933,0.00015830652858007049,0.0004494922429914895
28,handwriting_train_104,0.9,edge,2,-1.0,0.1,0.09000000000000001,0.899999999991,5,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,3,8.519915988946356e-05,0.0001519318345822773,0.0008156315409083035,0.000160288878779552,0.00045041535039888354
29,handwriting_train_100,0.25,small,4,1.0,0.1,0.025,0.2499999999975,5,1.0,0.05,0.0125,0.249999999995,0.24999999999625,18,0.00023157110381866883,0.00015759508763513118,0.001167187334987784,0.00015708760662344018,0.0006993792194032264
29,handwriting_train_100,0.5,mid,4,1.0,0.1,0.05,0.499999999995,5,1.0,0.05,0.025,0.49999999999,0.4999999999925,18,0.0002320950409881505,0.0001594492221373545,0.0011686305422463849,0.00015830553637952052,0.0007003627916172677
29,handwriting_train_100,0.9,edge,4,1.0,0.1,0.09000000000000001,0.899999999991,5,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,18,0.0002328985061036976,0.00016271603632320132,0.0011709179814821124,0.00016028565444301579,0.000701908243792905
30,handwriting_train_62,0.25,small,8,1.0,0.1,0.025,0.2499999999975,3,1.0,0.05,0.0125,0.249999999995,0.24999999999625,9,0.00010626103151478125,0.0001571691678095383,0.0007560521506563615,0.00015585781473017427,0.00043115659108557136
30,handwriting_train_62,0.5,mid,8,1.0,0.1,0.05,0.499999999995,3,1.0,0.05,0.025,0.49999999999,0.4999999999925,9,0.00010643589796247744,0.00015859452733970792,0.0007566475034640949,0.00015585958150067438,0.0004315417007132862
30,handwriting_train_62,0.9,edge,8,1.0,0.1,0.09000000000000001,0.899999999991,3,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,9,0.00010669767282318996,0.0001611735500068243,0.0007575924916107062,0.00015592110573504445,0.0004321450822169481
31,handwriting_train_106,0.25,small,1,1.0,0.1,0.025,0.2499999999975,2,1.0,0.05,0.0125,0.249999999995,0.24999999999625,17,9.97615326602721e-05,0.00015473639639205537,0.0011754218471859393,0.00015660312487870273,0.0006375916899231057
31,handwriting_train_106,0.5,mid,1,1.0,0.1,0.05,0.499999999995,2,1.0,0.05,0.025,0.49999999999,0.4999999999925,17,9.988975448179043e-05,0.00015373521151685362,0.0011772174928103367,0.00015735284630423086,0.0006385536236460635
