dataset,seed,status,fail_reason,requested_k_dir,effective_k_dir,num_classes,latent_dim,train_size,aug_total_count,algo,model,base_f1,mba_f1,gain,f1_gain_pct,base_stop_epoch,mba_stop_epoch,base_best_val_f1,mba_best_val_f1
handwriting,2,success,,10,10,26.0,6.0,120.0,120.0,lraes,patchtst,0.2051311934998524,0.1920494565282053,-0.013081736971647,-6.377250758990846,100.0,19.0,0.2638888888888889,0.2410714285714285
handwriting,3,success,,10,10,26.0,6.0,120.0,120.0,lraes,patchtst,0.1983616593947473,0.2004177994981642,0.0020561401034169,1.036560731106004,33.0,21.0,0.2396825396825396,0.1833333333333333
har,1,success,,10,10,6.0,45.0,5881.0,5881.0,lraes,patchtst,0.8634778330263798,0.878140857961955,0.0146630249355751,1.6981354560136952,41.0,63.0,0.9001604694106238,0.9064549142334551
har,2,success,,10,10,6.0,45.0,5881.0,5881.0,lraes,patchtst,0.8656503844280787,0.8521131956520688,-0.0135371887760099,-1.5638169237499773,27.0,37.0,0.8973556212229049,0.9021335285008606
har,3,success,,10,10,6.0,45.0,5881.0,5881.0,lraes,patchtst,0.8675768177865303,0.8753032359168168,0.0077264181302865,0.8905744230723786,43.0,83.0,0.9068731268339676,0.9120224380192284
heartbeat,1,success,,10,6,2.0,1891.0,163.0,163.0,lraes,patchtst,0.5419563058589871,0.4493728592198319,-0.0925834466391551,-17.083190758196277,100.0,18.0,0.5287356321839081,0.5387500000000001
heartbeat,2,success,,10,6,2.0,1891.0,163.0,163.0,lraes,patchtst,0.5156208978734576,0.5134261774714748,-0.0021947204019827,-0.4256460483638773,26.0,23.0,0.5839188134270101,0.6693548387096775
heartbeat,3,success,,10,6,2.0,1891.0,163.0,163.0,lraes,patchtst,0.5192341349014666,0.5172684458398744,-0.0019656890615922,-0.3785746257592677,31.0,21.0,0.5729166666666666,0.6440972222222222
japanesevowels,1,success,,10,10,9.0,78.0,216.0,216.0,lraes,patchtst,0.8804525433949364,0.8279897273360157,-0.0524628160589206,-5.958618723277309,67.0,19.0,0.8596588596588597,0.867994967994968
japanesevowels,2,success,,10,10,9.0,78.0,216.0,216.0,lraes,patchtst,0.8641805929320686,0.8707955981354477,0.006615005203379,0.765465516353429,29.0,24.0,0.8885003885003885,0.8866873866873868
japanesevowels,3,success,,10,10,9.0,78.0,216.0,216.0,lraes,patchtst,0.8654957632027105,0.8794916108535483,0.0139958476508378,1.6170900689284775,32.0,31.0,0.9068894068894068,0.9083694083694084
libras,1,success,,10,10,15.0,3.0,144.0,144.0,lraes,patchtst,0.7713988822894742,0.725986254613257,-0.0454126276762171,-5.887047911501605,71.0,51.0,0.8053968253968254,0.8085714285714285
libras,2,success,,10,10,15.0,3.0,144.0,144.0,lraes,patchtst,0.7102858358685299,0.7167258601682256,0.0064400242996957,0.906680531667984,36.0,41.0,0.8853968253968254,0.9211111111111112
libras,3,success,,10,10,15.0,3.0,144.0,144.0,lraes,patchtst,0.763972612260178,0.7569689700604243,-0.0070036421997536,-0.916739837347559,53.0,37.0,0.7685714285714287,0.7914285714285716
natops,1,success,,10,10,6.0,300.0,144.0,144.0,lraes,patchtst,0.717438233415105,0.7360519157311094,0.0186136823160043,2.594464422802817,31.0,20.0,0.7884432560903148,0.752042402042402
natops,2,success,,10,10,6.0,300.0,144.0,144.0,lraes,patchtst,0.7424175664181255,0.7415893600535531,-0.0008282063645723,-0.1115553147553912,32.0,25.0,0.7333333333333334,0.7234321234321234
natops,3,success,,10,10,6.0,300.0,144.0,144.0,lraes,patchtst,0.6839728055951425,0.7703083920793744,0.0863355864842319,12.622661771829849,21.0,100.0,0.7237484737484738,0.6825489325489325
pendigits,1,success,,10,10,10.0,3.0,5995.0,5995.0,lraes,patchtst,0.9756418488498756,0.9758073767325692,0.0001655278826937,0.0169660481377292,58.0,57.0,0.996639679904062,0.9979407705704167
pendigits,2,success,,10,10,10.0,3.0,5995.0,5995.0,lraes,patchtst,0.9686640733795931,0.970799724589376,0.0021356512097828,0.2204738513588001,40.0,57.0,0.9960506263698864,0.9986624337696446
pendigits,3,success,,10,10,10.0,3.0,5995.0,5995.0,lraes,patchtst,0.9758954291679662,0.9738720735428974,-0.0020233556250688,-0.2073332200623889,99.0,40.0,0.9980238460197628,0.9966621542075452
racketsports,1,success,,10,10,4.0,21.0,120.0,120.0,lraes,patchtst,0.700441745295171,0.7312276599267257,0.0307859146315546,4.395213512491001,55.0,36.0,0.8807692307692307,0.9100455465587044
racketsports,2,success,,10,10,4.0,21.0,120.0,120.0,lraes,patchtst,0.7026420925674657,0.7322306137644932,0.0295885211970274,4.211036785153844,28.0,27.0,0.8187229437229437,0.8187229437229437
racketsports,3,success,,10,10,4.0,21.0,120.0,120.0,lraes,patchtst,0.7590901555431363,0.7596185124238812,0.0005283568807449,0.0696039603837207,100.0,100.0,0.738365800865801,0.7346132128740825
selfregulationscp2,1,success,,10,6,2.0,28.0,160.0,160.0,lraes,patchtst,0.4582855015357885,0.4263436368699526,-0.0319418646658358,-6.96985996478911,100.0,38.0,0.6247654784240151,0.595959595959596
selfregulationscp2,2,success,,10,6,2.0,28.0,160.0,160.0,lraes,patchtst,0.5371603829114905,0.4820384294068504,-0.05512195350464,-10.261729084364283,19.0,20.0,0.6247654784240151,0.55
selfregulationscp2,3,success,,10,6,2.0,28.0,160.0,160.0,lraes,patchtst,0.429575476138182,0.4662754767626955,0.0367000006245134,8.543316394856705,21.0,21.0,0.6647324306898775,0.6190476190476191
uwavegesturelibrary,1,success,,10,10,8.0,6.0,96.0,96.0,lraes,patchtst,0.8172114069178374,0.8292121120575172,0.0120007051396797,1.4684943907533992,100.0,100.0,0.8770833333333333,0.8770833333333333
uwavegesturelibrary,2,success,,10,10,8.0,6.0,96.0,96.0,lraes,patchtst,0.8051372713133655,0.80863074658222,0.0034934752688544,0.4338980394309352,20.0,17.0,0.91875,0.8589285714285715
uwavegesturelibrary,3,success,,10,10,8.0,6.0,96.0,96.0,lraes,patchtst,0.7820203702994516,0.8380184771967129,0.0559981068972612,7.160695790459097,17.0,28.0,0.8172619047619047,0.8279761904761904
articularywordrecognition,1,success,,10,10,25.0,45.0,220.0,220.0,lraes,timesnet,0.9801043478260868,0.9733750076010944,-0.0067293402249922,-0.6865941930901587,100.0,20.0,0.9786666666666668,0.9786666666666668
articularywordrecognition,2,success,,10,10,25.0,45.0,220.0,220.0,lraes,timesnet,0.9696360708534622,0.9735633435807348,0.0039272727272726,0.4050253946091893,100.0,18.0,0.9786666666666668,0.92
articularywordrecognition,3,success,,10,10,25.0,45.0,220.0,220.0,lraes,timesnet,0.983310144927536,0.9866492753623188,0.0033391304347827,0.3395805598495321,100.0,100.0,0.984,0.984
atrialfibrillation,1,success,,10,9,3.0,3.0,12.0,12.0,lraes,timesnet,0.3861693861693862,0.1568627450980392,-0.2293066410713469,-59.3797928847143,26.0,25.0,0.1666666666666666,0.1666666666666666
atrialfibrillation,2,success,,10,9,3.0,3.0,12.0,12.0,lraes,timesnet,0.236111111111111,0.3333333333333333,0.0972222222222222,41.17645314879633,23.0,31.0,0.5555555555555555,0.5555555555555555
atrialfibrillation,3,success,,10,9,3.0,3.0,12.0,12.0,lraes,timesnet,0.2013468013468013,0.2034632034632034,0.002116402116402,1.0511222682075416,18.0,26.0,0.2222222222222222,0.5555555555555555
basicmotions,1,success,,10,10,4.0,21.0,32.0,32.0,lraes,timesnet,0.7771513084812318,0.8239898989898989,0.0468385905086671,6.026958195984313,100.0,100.0,0.7333333333333333,0.75
basicmotions,2,success,,10,10,4.0,21.0,32.0,32.0,lraes,timesnet,0.7532781228433403,0.8761278195488722,0.1228496967055319,16.308674933123754,100.0,59.0,0.8666666666666667,1.0
basicmotions,3,success,,10,10,4.0,21.0,32.0,32.0,lraes,timesnet,0.7748188405797101,0.8764556318332062,0.1016367912534961,13.11748925206355,31.0,44.0,0.6416666666666666,0.6333333333333333
cricket,1,success,,10,10,12.0,21.0,86.0,86.0,lraes,timesnet,0.899012099012099,0.8602855477855477,-0.0387265512265513,-4.307678056994881,100.0,17.0,0.911111111111111,0.9111111111111112
cricket,2,success,,10,10,12.0,21.0,86.0,86.0,lraes,timesnet,0.9441530691530692,0.812900987900988,-0.1312520812520811,-13.901566561474109,100.0,17.0,1.0,0.8555555555555555
