split,epoch,class_idx,committee_idx,sample_idx_in_batch,ridge_mode,support_mode,prototype_aggregation,mean_trace,condition_number,effective_ridge,weight_norm
train,1,1,-1,20,trace_adaptive,same_only,pooled,0.0004736652481369674,2028604.375,4.736652499559568e-06,8.076611518859863
train,1,1,-1,21,trace_adaptive,same_only,pooled,0.00044781446922570467,3179560.25,4.478144546737894e-06,8.075563430786133
train,1,1,-1,22,trace_adaptive,same_only,pooled,0.0004738673160318285,2080739.875,4.738672942039557e-06,8.076547622680664
train,1,1,-1,23,trace_adaptive,same_only,pooled,0.00047645875019952655,2211316.25,4.764587174577173e-06,8.076541900634766
train,1,1,-1,24,trace_adaptive,same_only,pooled,0.0004657923127524555,1862851.125,4.6579230001952965e-06,8.076743125915527
train,1,1,-1,25,trace_adaptive,same_only,pooled,0.00047099366202019155,1841845.5,4.709936547442339e-06,8.076677322387695
train,1,1,-1,26,trace_adaptive,same_only,pooled,0.0004749816725961864,2172766.25,4.74981652587303e-06,8.076533317565918
train,1,1,-1,27,trace_adaptive,same_only,pooled,0.0004685299936681986,1800189.75,4.685299700213363e-06,8.076684951782227
train,1,1,-1,28,trace_adaptive,same_only,pooled,0.0004676604294218123,1806611.625,4.6766040213697124e-06,8.076704025268555
train,1,1,-1,29,trace_adaptive,same_only,pooled,0.0004634433425962925,2332923.5,4.634433480532607e-06,8.076456069946289
train,1,1,-1,30,trace_adaptive,same_only,pooled,0.00047231005737558007,2005155.0,4.723100573755801e-06,8.07657527923584
train,1,1,-1,31,trace_adaptive,same_only,pooled,0.00047024450032040477,1797935.375,4.702445039583836e-06,8.076704025268555
train,1,0,-1,0,trace_adaptive,same_only,pooled,0.0004303311579860747,1484629.125,4.303311470721383e-06,8.96239948272705
train,1,0,-1,1,trace_adaptive,same_only,pooled,0.00042137812124565244,1733128.875,4.2137812670262065e-06,8.962315559387207
train,1,0,-1,2,trace_adaptive,same_only,pooled,0.00042383791878819466,1560267.875,4.238379005983006e-06,8.962388038635254
train,1,0,-1,3,trace_adaptive,same_only,pooled,0.0004201481060590595,1889619.625,4.2014808059320785e-06,8.962179183959961
train,1,0,-1,4,trace_adaptive,same_only,pooled,0.0004201133851893246,2025869.5,4.201133833703352e-06,8.961780548095703
train,1,0,-1,5,trace_adaptive,same_only,pooled,0.0004293207312002778,1626366.625,4.293207439332036e-06,8.962294578552246
train,1,0,-1,6,trace_adaptive,same_only,pooled,0.00043037233990617096,1644242.875,4.303723471821286e-06,8.962274551391602
train,1,0,-1,7,trace_adaptive,same_only,pooled,0.00042965763714164495,1590046.25,4.296576207707403e-06,8.962409019470215
train,1,0,-1,8,trace_adaptive,same_only,pooled,0.00042311419383622706,1721194.0,4.231141701893648e-06,8.962316513061523
train,1,0,-1,9,trace_adaptive,same_only,pooled,0.00043368167825974524,1567195.75,4.3368168007873464e-06,8.962382316589355
train,1,0,-1,10,trace_adaptive,same_only,pooled,0.0004244562587700784,1687722.125,4.24456266046036e-06,8.962295532226562
train,1,0,-1,11,trace_adaptive,same_only,pooled,0.0004299301654100418,2314589.75,4.299301508581266e-06,8.96207332611084
train,1,0,-1,12,trace_adaptive,same_only,pooled,0.00043043188634328544,1688446.625,4.304318736103596e-06,8.962231636047363
train,1,0,-1,13,trace_adaptive,same_only,pooled,0.00043677465873770416,1670232.25,4.367746441857889e-06,8.96233081817627
train,1,0,-1,14,trace_adaptive,same_only,pooled,0.0004371661343611777,1669670.25,4.371661361801671e-06,8.962358474731445
train,1,0,-1,15,trace_adaptive,same_only,pooled,0.0004183471028227359,1961752.25,4.183470991847571e-06,8.962174415588379
train,1,0,-1,16,trace_adaptive,same_only,pooled,0.0004282320733182132,1703874.625,4.282320787751814e-06,8.962182998657227
train,1,0,-1,17,trace_adaptive,same_only,pooled,0.00043367446050979197,1640945.625,4.3367444959585555e-06,8.962349891662598
train,1,0,-1,18,trace_adaptive,same_only,pooled,0.000435581459896639,1686120.375,4.355814326117979e-06,8.96234130859375
train,1,0,-1,19,trace_adaptive,same_only,pooled,0.0004376590368337929,1724972.625,4.376590368337929e-06,8.962329864501953
train,1,0,-1,20,trace_adaptive,same_only,pooled,0.00043471669778227806,1602981.75,4.347166850493522e-06,8.962366104125977
train,1,0,-1,21,trace_adaptive,same_only,pooled,0.00043534181895665824,1611025.125,4.353418262326159e-06,8.962366104125977
train,1,0,-1,22,trace_adaptive,same_only,pooled,0.0004366817302070558,1688323.75,4.366817393020028e-06,8.962335586547852
train,1,0,-1,23,trace_adaptive,same_only,pooled,0.00043282052502036095,1845985.625,4.3282052502036095e-06,8.96230411529541
train,1,0,-1,24,trace_adaptive,same_only,pooled,0.0004334039113018662,1590699.375,4.334039203968132e-06,8.962358474731445
train,1,0,-1,25,trace_adaptive,same_only,pooled,0.00043802475556731224,1711846.5,4.380247446533758e-06,8.962301254272461
