anchor_index,tid,class_id,candidate_order,direction_id,sign,gamma_requested,gamma_used,direction_norm,safe_upper_bound,safe_radius_ratio,manifold_margin,algo,engine_id,direction_bank_source,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,margin_aug,feedback_weight
11,natops_train_138,5,0,4,-1.0,0.1,0.1,1.0,4.429260816380725,0.99999999999,8.858521632770309,lraes,lraes,lraes,0.0004439298781948727,1.972743948575426,1.260639191191113,0.40150847308244014,4.522365570068359,0.9892534476096094
10,natops_train_139,1,0,1,1.0,0.1,0.1,1.0,2.4914598171669224,0.99999999999,4.9829196343388285,lraes,lraes,lraes,0.00045073181986613126,4.397423415056829,1.34792035693742,0.48613517581595467,1.3470144271850586,0.7936410949414413
53,natops_train_14,2,0,3,-1.0,0.1,0.1,1.0,2.5064714235588084,0.99999999999,5.0129428471226305,lraes,lraes,lraes,0.00044391317225854027,4.337860539522752,1.261269627559365,0.3777834536167856,2.3966054916381836,0.9165680887539565
142,natops_train_140,0,0,3,1.0,0.1,0.1,1.0,2.198211321612358,0.99999999999,4.396422643229113,lraes,lraes,lraes,0.0004462343997007678,4.682386358621552,1.310722288879854,0.444028189528516,2.6679368019104004,0.9351079466503731
89,natops_train_141,0,0,1,1.0,0.1,0.1,1.0,2.9223102949845248,0.99999999999,5.844620589974895,lraes,lraes,lraes,0.0004501716049405225,4.440885807690634,1.330272322725587,0.4622971891557679,3.589463710784912,0.9731288613029421
38,natops_train_142,0,0,0,1.0,0.1,0.1,1.0,1.8505884617766268,0.99999999999,3.701176923556955,lraes,lraes,lraes,0.00045053690400818826,4.986224405089527,1.3168065985063575,0.5136434980876338,3.5159778594970703,0.9711389846641914
103,natops_train_143,3,0,6,-1.0,0.1,0.1,1.0,3.1783602738348016,0.99999999999,6.356720547675961,lraes,lraes,lraes,0.0004426066685241121,1.4948137099729886,1.2257387964811775,0.3917048024975893,3.5906198024749756,0.9731590755077877
37,natops_train_144,0,0,8,1.0,0.1,0.1,1.0,2.5467033902936875,0.99999999999,5.093406780592469,lraes,lraes,lraes,0.00044554073202638706,3.814347350937021,1.219160475307156,0.37161612356343143,4.546875,0.9895109087400621
59,natops_train_146,5,0,8,1.0,0.1,0.1,1.0,3.745277849185239,0.99999999999,7.490555698377969,lraes,lraes,lraes,0.0004463002241677397,1.5684333378143136,1.276158057431317,0.41074062735887273,3.324394941329956,0.965256284573549
110,natops_train_148,1,0,1,-1.0,0.1,0.1,1.0,2.087402964966733,0.99999999999,4.174805929937642,lraes,lraes,lraes,0.0004415943025725365,4.588184126211162,1.3538771595446082,0.4409694567802319,-0.04474449157714844,0.48881574301512626
104,natops_train_149,5,0,9,-1.0,0.1,0.1,1.0,3.8922165377675104,0.99999999999,7.784433075542806,lraes,lraes,lraes,0.0004427379912678071,1.382862462140437,1.1952788384246142,0.34016595016839335,3.3832974433898926,0.9671784416511005
82,natops_train_15,1,0,6,-1.0,0.1,0.1,1.0,2.8389126038875787,0.99999999999,5.6778252077808355,lraes,lraes,lraes,0.00044449923660585947,3.6560809507264977,1.3553580294757535,0.48267873188486593,-0.021015644073486328,0.49474628234209955
22,natops_train_150,5,0,6,-1.0,0.1,0.1,1.0,3.604386680141288,0.99999999999,7.208773360289785,lraes,lraes,lraes,0.00044181235165708255,1.2303582358828842,1.2166605476454078,0.3493456825665999,2.901611566543579,0.9479260449343447
19,natops_train_151,2,0,0,-1.0,0.1,0.1,1.0,2.155675867294129,0.99999999999,4.31135173459257,lraes,lraes,lraes,0.00044163996585037767,4.722442152039463,1.2952478626302437,0.3987926239438299,2.4545998573303223,0.9208971794203052
48,natops_train_152,4,0,3,-1.0,0.1,0.1,1.0,3.1407586897016815,0.99999999999,6.281517379409645,lraes,lraes,lraes,0.0004444140971160434,1.071765843719596,1.2636851967266298,0.4023564823812949,1.1591854095458984,0.7611846680037336
35,natops_train_153,4,0,4,-1.0,0.1,0.1,1.0,3.1233492199274386,0.99999999999,6.246698439861125,lraes,lraes,lraes,0.00044255537426253955,0.651662026027788,1.1997933845547593,0.32435414611394564,1.3282594680786133,0.7905525846558583
14,natops_train_154,0,0,7,1.0,0.1,0.1,1.0,2.2278306341255156,0.99999999999,4.455661268255487,lraes,lraes,lraes,0.0004456155275518914,4.235366525155692,1.2454213336451552,0.4103222798887935,2.489222764968872,0.9233828337112857
128,natops_train_156,1,0,1,-1.0,0.1,0.1,1.0,2.5351390390092083,0.99999999999,5.070278078023487,lraes,lraes,lraes,0.000441732121330956,4.298827761760601,1.3580771489396684,0.4495056490291417,1.4215936660766602,0.8055881314053768
2,natops_train_157,4,0,7,1.0,0.1,0.1,1.0,3.2566502184233332,0.99999999999,6.51330043685318,lraes,lraes,lraes,0.00044355477585968485,1.3324107937002176,1.1614879678207597,0.29105462434608886,1.2580887079238892,0.7786969140336167
64,natops_train_158,1,0,6,1.0,0.1,0.1,1.0,2.0124589379029696,0.99999999999,4.024917875809964,lraes,lraes,lraes,0.0004473629999043708,5.0042810203229005,1.3060072244535146,0.42501892972086397,2.1075222492218018,0.8916321546271985
97,natops_train_159,2,0,0,1.0,0.1,0.1,1.0,2.386579609556853,0.99999999999,4.77315921911848,lraes,lraes,lraes,0.0004470258139340699,3.642908416657726,1.2365701650822942,0.3416299758713029,2.7234816551208496,0.9383981055914622
132,natops_train_16,2,0,1,-1.0,0.1,0.1,1.0,2.3453861502174735,0.99999999999,4.690772300439638,lraes,lraes,lraes,0.00044125440375589837,3.8693012914837994,1.335911328584482,0.42691133816166504,1.927042007446289,0.8729216532169096
18,natops_train_160,2,0,4,1.0,0.1,0.1,1.0,2.5351390390092083,0.99999999999,5.070278078023487,lraes,lraes,lraes,0.00044877967008914667,4.122921805886744,1.4109397474334695,0.536637328523815,3.9519429206848145,0.9811450146958688
78,natops_train_162,1,0,3,-1.0,0.1,0.1,1.0,2.728723860738269,0.99999999999,5.457447721481996,lraes,lraes,lraes,0.00044556230815467554,5.025281014735069,1.3553932097507144,0.4575942186186129,1.893144130706787,0.8691136068740316
91,natops_train_163,3,0,7,1.0,0.1,0.1,1.0,2.999450799981837,0.99999999999,5.998901599969674,lraes,lraes,lraes,0.0004432846034656514,0.9117666332976709,1.1421834033978913,0.26992590343048534,2.980005979537964,0.9516626463446899
66,natops_train_165,3,0,6,-1.0,0.1,0.1,1.0,3.1273634728188986,0.99999999999,6.254726945644053,lraes,lraes,lraes,0.0004441650132782949,1.4345630890795045,1.3248668473085479,0.4670278333920139,3.4791769981384277,0.9700894492853224
71,natops_train_166,4,0,7,-1.0,0.1,0.1,1.0,3.2644614602557844,0.99999999999,6.528922920518099,lraes,lraes,lraes,0.0004416620835746336,0.8764428419800874,1.1148975309408617,0.23097278298496965,1.9547767639160156,0.8759665658553419
47,natops_train_169,4,0,6,-1.0,0.1,0.1,1.0,2.999450799981837,0.99999999999,5.998901599969674,lraes,lraes,lraes,0.0004423560649385581,1.0404588794839524,1.23546461312118,0.37953384077537383,0.7852606773376465,0.6868128013243789
137,natops_train_17,1,0,1,1.0,0.1,0.1,1.0,2.1918066585280997,0.99999999999,4.3836133170605835,lraes,lraes,lraes,0.0004506296152415586,4.981425907500545,1.3598562629782893,0.48527390418493926,1.8565412759780884,0.8648932960137441
51,natops_train_170,3,0,0,-1.0,0.1,0.1,1.0,2.937170509708936,0.99999999999,5.874341019423747,lraes,lraes,lraes,0.000440244425057171,1.2462881962517833,1.2043851893240314,0.329935603103206,3.4904632568359375,0.9704151986106935
36,natops_train_172,5,0,7,1.0,0.1,0.1,1.0,4.111295028713498,0.99999999999,8.22259005743522,lraes,lraes,lraes,0.0004438079618603438,1.5883307809852716,1.164100636812599,0.30578159959112633,3.1242358684539795,0.9578814543069033
17,natops_train_173,1,0,3,-1.0,0.1,0.1,1.0,2.5629630142225075,0.99999999999,5.125926028450142,lraes,lraes,lraes,0.0004443301201962127,4.632640833122368,1.2978776962989906,0.3993989268854747,1.968174934387207,0.8774149480226215
67,natops_train_174,3,0,1,-1.0,0.1,0.1,1.0,2.9744087712635054,0.99999999999,5.94881754253296,lraes,lraes,lraes,0.00043912297411276643,1.0799277966193137,1.1884267142881488,0.3187331532411297,4.20960807800293,0.9853651711342913
118,natops_train_175,3,0,6,-1.0,0.1,0.1,1.0,3.3214436050806064,0.99999999999,6.642887210167856,lraes,lraes,lraes,0.0004429767385927736,1.1010778285827927,1.2765547084903672,0.4105267770951759,3.5317277908325195,0.9715771641118833
33,natops_train_176,4,0,4,1.0,0.1,0.1,1.0,2.8589517937670834,0.99999999999,5.717903587539885,lraes,lraes,lraes,0.00044433373924279473,1.1863857156673152,1.1804320706613691,0.3167358663050883,1.964985728263855,0.8770715104385624
58,natops_train_177,0,0,8,-1.0,0.1,0.1,1.0,2.8502843894813235,0.99999999999,5.700568778968348,lraes,lraes,lraes,0.0004453963700416841,4.083345452276462,1.350491753188674,0.4812956165218276,2.686643362045288,0.9362338835703479
4,natops_train_178,3,0,7,-1.0,0.1,0.1,1.0,2.8589517937670834,0.99999999999,5.717903587539885,lraes,lraes,lraes,0.0004416998638086292,0.9722301925840471,1.115279542667976,0.23699516808044532,3.199282646179199,0.9608072729840625
126,natops_train_179,3,0,7,-1.0,0.1,0.1,1.0,2.9986522141430885,0.99999999999,5.997304428292175,lraes,lraes,lraes,0.0004419020874747592,0.8313035239717901,1.131599014244293,0.2493087395760027,4.024548053741455,0.9824422834334268
105,natops_train_18,1,0,8,1.0,0.1,0.1,1.0,1.961235473472027,0.99999999999,3.9224709469479766,lraes,lraes,lraes,0.00044802455608707536,5.037468847858684,1.3749745281278976,0.49758641452475977,1.2204055786132812,0.7721349158533531
13,natops_train_19,5,0,2,1.0,0.1,0.1,1.0,4.225695924928001,0.99999999999,8.451391849864454,lraes,lraes,lraes,0.00044240364577726626,2.2197159356777387,1.2528671442919879,0.3703447532321774,3.625278949737549,0.9740496947156525
84,natops_train_2,2,0,9,1.0,0.1,0.1,1.0,1.701901781726212,0.99999999999,3.403803563455828,lraes,lraes,lraes,0.0004445743571511097,5.341200914279968,1.2311145226623261,0.324717133155321,2.081198215484619,0.8890622690468735
93,natops_train_20,3,0,5,-1.0,0.1,0.1,1.0,3.1233492199274386,0.99999999999,6.246698439861125,lraes,lraes,lraes,0.00044521640552115313,1.0078427420955691,1.2026809948623416,0.34725586375168255,3.9409632682800293,0.9809408202242955
28,natops_train_21,2,0,7,1.0,0.1,0.1,1.0,2.31610784161473,0.99999999999,4.632215683234093,lraes,lraes,lraes,0.000446115195451309,4.323541128493038,1.3047953449134535,0.43592775748301643,2.921046257019043,0.9488770761946198
23,natops_train_22,4,0,3,-1.0,0.1,0.1,1.0,3.231050432210148,0.99999999999,6.462100864426758,lraes,lraes,lraes,0.0004439468801996204,1.765040368383092,1.220624874142666,0.3783585826841481,1.3518285751342773,0.7944284170717656
127,natops_train_23,3,0,5,-1.0,0.1,0.1,1.0,3.093392197870986,0.99999999999,6.186784395748159,lraes,lraes,lraes,0.0004459207059575628,1.1535785302037007,1.186938834159097,0.3865522755424852,3.318265914916992,0.9650501507704077
15,natops_train_24,0,0,5,-1.0,0.1,0.1,1.0,3.2293878770406805,0.99999999999,6.458775754087821,lraes,lraes,lraes,0.0004460637974089543,4.475774167319725,1.273921900727715,0.39476552900767975,2.3968825340270996,0.9165892720252453
121,natops_train_25,5,0,2,1.0,0.1,0.1,1.0,3.994167520874677,0.99999999999,7.9883350417573435,lraes,lraes,lraes,0.00044262575380531546,2.1808687807569287,1.2651365336848224,0.38248266343718307,3.527418851852417,0.971457930758142
45,natops_train_26,2,0,9,1.0,0.1,0.1,1.0,2.8284492721554613,0.99999999999,5.65689854431658,lraes,lraes,lraes,0.00044389795133344134,4.307045207324542,1.1962863819603657,0.2955656359943738,4.906787872314453,0.9926580944789306
