dataset,label,arm,prototype_geometry_mode,subproto_temperature,run_dir,local_acc,final_acc,final_override_rate,helpful_override_rate,harmful_override_rate,subproto_weight_entropy_mean,same_weight_max_mean,subproto_cos_top1_top2_gap_mean,subproto_top1_occupancy_entropy,subproto_usage_effective_count,subproto_pairwise_cos_mean
racketsports,center_subproto_tau0.1,e2,center_subproto,0.1,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p1_racketsports_seed1,0.8618421052631579,0.8223684210526315,0.013157894736842105,0.013157894736842105,0.0,0.9401765991198389,0.4086506331437512,0.04772674865824612,0.5192172316076256,2.0539975534154356,0.6021921634674072
articularywordrecognition,E0,e0,flat,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e0/stage2_resnet1d_e0_behavioral_articularywordrecognition_seed1,,0.98,,,,,,,,,
articularywordrecognition,center_only,e2,center_only,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_only_articularywordrecognition_seed1,0.9666666666666667,0.97,0.006666666666666667,0.0,0.0033333333333333335,0.0,1.0,0.0,0.0,1.0,1.0
articularywordrecognition,center_subproto_tau1.0,e2,center_subproto,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau1p0_articularywordrecognition_seed1,0.9766666666666667,0.9733333333333334,0.0,0.0,0.0,0.9995782246192296,0.2605226750175158,0.029880602608124415,0.990880107543986,3.9497469186561815,0.4837551164627075
articularywordrecognition,center_subproto_tau0.5,e2,center_subproto,0.5,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p5_articularywordrecognition_seed1,0.9666666666666667,0.9666666666666667,0.006666666666666667,0.0,0.0,0.9982225920756658,0.27151555885871254,0.030184547901153564,0.9942596186730097,3.968294886658948,0.4312785065174103
articularywordrecognition,center_subproto_tau0.2,e2,center_subproto,0.2,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p2_articularywordrecognition_seed1,0.9733333333333334,0.9766666666666667,0.01,0.01,0.0,0.9894979850451151,0.3027519945303599,0.02652134175101916,0.9908227781921067,3.949433023582453,0.43547609329223635
articularywordrecognition,center_subproto_tau0.1,e2,center_subproto,0.1,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p1_articularywordrecognition_seed1,0.9766666666666667,0.97,0.0033333333333333335,0.0,0.0,0.9578522270917893,0.36553803076346714,0.03018600732088089,0.9884311381177565,3.9363602940691056,0.4322396099567413
heartbeat,E0,e0,flat,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e0/stage2_resnet1d_e0_behavioral_heartbeat_seed1,,0.6731707317073171,,,,,,,,,
heartbeat,center_only,e2,center_only,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_only_heartbeat_seed1,0.7317073170731707,0.6682926829268293,0.01951219512195122,0.004878048780487805,0.014634146341463415,0.0,1.0,0.0,0.0,1.0,1.0
heartbeat,center_subproto_tau1.0,e2,center_subproto,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau1p0_heartbeat_seed1,0.6585365853658537,0.6439024390243903,0.04390243902439024,0.03414634146341464,0.00975609756097561,0.9995110159967003,0.26236243262523556,0.03872809451436851,0.6469070575289284,2.451753802006994,0.6131212115287781
