anchor_index,tid,class_id,candidate_order,direction_id,sign,gamma_requested,gamma_used,direction_norm,safe_upper_bound,safe_radius_ratio,manifold_margin,edit_mode,edit_basis,edit_alpha_scale,edit_alpha,edit_norm,edit_energy,edit_basis_fro_norm,edit_status_code,transport_error_fro,transport_error_logeuc,recolor_transport_error_fro,recolor_transport_error_logeuc,bridge_cond_A,margin_aug
42,handwriting_train_30,14,0,5,1.0,0.1,0.06472692530824216,1.0,0.06472692530824216,0.6472692530759488,0.12945385061661377,line,whitened_pca,0.25,3.072051431861127,3.072051431861126,0.24999999999997957,1.0,1.0,0.5601618812920434,0.5753699732700269,0.5601618812920434,0.5753699732700269,1.0665900517121292,0.22651898860931396
36,handwriting_train_31,16,0,4,1.0,0.1,0.07269726297342673,0.9999999403953552,0.07269726297342673,0.7269726297269975,0.14539451728080977,line,whitened_pca,0.25,3.072051431861127,3.0720514318611274,0.24999999999997968,1.0,1.0,0.6964075525554061,0.575327504751044,0.6964075525554061,0.575327504751044,1.0727661831944384,0.4443442225456238
63,handwriting_train_32,21,0,7,-1.0,0.1,0.05871557267803533,1.0,0.05871557267803533,0.5871557267744817,0.11743114535618811,line,whitened_pca,0.25,3.072051431861127,3.0720514318611314,0.24999999999998002,1.0,1.0,0.667314092635471,0.44617316963813136,0.667314092635471,0.44617316963813136,1.0520711764211244,1.3267899751663208
25,handwriting_train_33,0,0,8,1.0,0.1,0.08797484474200082,0.9999999403953552,0.08797484474200082,0.8797484474112106,0.17594967899675884,line,whitened_pca,0.25,3.072051431861127,3.072051431861124,0.2499999999999794,1.0000000000000002,1.0,0.5924308680994945,0.5753744474887265,0.5924308680994945,0.5753744474887265,1.0912988698286321,0.2527009844779968
94,handwriting_train_34,2,0,3,1.0,0.1,0.1,1.0,0.23115477176660848,0.99999999999,0.4623095435336793,line,whitened_pca,0.25,3.072051431861127,3.0720514318611314,0.24999999999998002,1.0,1.0,1.506038086344695,0.4462118905261028,1.506038086344695,0.4462118905261028,1.1058431923631953,1.598501443862915
3,handwriting_train_35,25,0,6,1.0,0.1,0.1,1.0,0.3343460694744918,0.99999999999,0.6686921389496524,line,whitened_pca,0.25,3.072051431861127,3.0720514318611256,0.24999999999997954,1.0,1.0,1.0876630548004667,0.5753614134973174,1.0876630548004667,0.5753614134973174,1.0941732010033223,1.012442708015442
29,handwriting_train_36,24,0,7,1.0,0.1,0.1,1.0,0.13226947036641656,0.99999999999,0.2645389407330977,line,whitened_pca,0.25,3.072051431861127,3.0720514318611247,0.24999999999997946,0.9999999999999999,1.0,0.7413250316019544,0.5753859739540466,0.7413250316019544,0.5753859739540466,1.090383468988284,-0.28593385219573975
57,handwriting_train_38,4,0,1,-1.0,0.1,0.1,1.0,0.15764929130601793,0.99999999999,0.31529858261235116,line,whitened_pca,0.25,3.072051431861127,3.072051431861126,0.24999999999997957,1.0,1.0,0.937111905501501,0.5754124909958037,0.937111905501501,0.5754124909958037,1.084756376946356,-0.37548744678497314
53,handwriting_train_39,11,0,7,1.0,0.1,0.1,1.0,0.11808960311344986,0.99999999999,0.23617920622713592,line,whitened_pca,0.25,3.072051431861127,3.0720514318611287,0.2499999999999798,1.0,1.0,1.0168232510830164,0.44622993178212733,1.0168232510830164,0.44622993178212733,1.0926693212619378,0.23531395196914673
72,handwriting_train_4,16,0,6,1.0,0.1,0.07091538979422386,1.0,0.07091538979422386,0.709153897935147,0.14183077958858956,line,whitened_pca,0.25,3.072051431861127,3.072051431861128,0.24999999999997974,1.0,1.0,0.6284533565729788,0.5753635553905584,0.6284533565729788,0.5753635553905584,1.0660898720837129,0.02364310622215271
48,handwriting_train_40,9,0,4,-1.0,0.1,0.0503021320770675,0.9999999403953552,0.0503021320770675,0.5030213207656447,0.10060425815775417,line,whitened_pca,0.25,3.072051431861127,3.072051431861127,0.24999999999997966,1.0,1.0,0.6852914217623768,0.4461843592013887,0.6852914217623768,0.4461843592013887,1.0488521694273674,1.8536344766616821
77,handwriting_train_41,2,0,7,-1.0,0.1,0.08482717974833648,1.0,0.08482717974833648,0.848271797474882,0.16965435949684263,line,whitened_pca,0.25,3.072051431861127,3.0720514318611247,0.24999999999997946,1.0,1.0,1.2940425614014808,0.4462413477100011,1.2940425614014808,0.4462413477100011,1.0800081558554013,1.8030381202697754
116,handwriting_train_42,14,0,9,-1.0,0.1,0.06033026729510651,0.9999999403953552,0.06033026729510651,0.603302672945032,0.12066052739840537,line,whitened_pca,0.25,3.072051431861127,3.072051431861129,0.24999999999997982,0.9999999999999999,1.0,0.8322621070298435,0.44622094250177025,0.8322621070298435,0.44622094250177025,1.058111412409105,0.5934054851531982
88,handwriting_train_43,4,0,9,-1.0,0.1,0.06768885516018609,0.9999999403953552,0.06768885516018609,0.676888551595092,0.13537770225136722,line,whitened_pca,0.25,3.072051431861127,3.072051431861127,0.24999999999997966,0.9999999999999999,1.0,0.5566188066631562,0.5753922178373884,0.5566188066631562,0.5753922178373884,1.0648476891220549,-0.19882285594940186
41,handwriting_train_44,10,0,6,-1.0,0.1,0.1,1.0,0.11109974086755417,0.99999999999,0.22219948173533055,line,whitened_pca,0.25,3.072051431861127,3.0720514318611247,0.24999999999997946,1.0,1.0,0.6847674603689515,0.5754028224226283,0.6847674603689515,0.5754028224226283,1.0930195487021013,-0.10094952583312988
102,handwriting_train_45,21,0,9,1.0,0.1,0.04122317825445794,0.9999999403953552,0.04122317825445794,0.41223178254045706,0.08244635159481253,line,whitened_pca,0.25,3.072051431861127,3.0720514318611265,0.24999999999997963,0.9999999999999999,1.0,0.7527879571428789,0.44621481194829055,0.7527879571428789,0.44621481194829055,1.0390638027954637,0.991517186164856
44,handwriting_train_46,13,0,2,-1.0,0.1,0.08765756631776588,0.9999999403953552,0.08765756631776588,0.8765756631688929,0.17531512218611087,line,whitened_pca,0.25,3.072051431861127,3.072051431861125,0.24999999999997952,1.0,1.0,0.6813914285417018,0.5753547990640545,0.6813914285417018,0.5753547990640545,1.0880013724004958,-0.5075907111167908
78,handwriting_train_48,24,0,1,1.0,0.1,0.1,1.0,0.16639566245038764,0.99999999999,0.33279132490110813,line,whitened_pca,0.25,3.072051431861127,3.0720514318611296,0.24999999999997988,1.0,1.0,1.0910293106104245,0.44606363096988483,1.0910293106104245,0.44606363096988483,1.0887891591718268,0.5145704746246338
