dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,warp_sigma,warp_knots,per_channel_curve,window_warp_ratio,window_warp_min_window_len,window_warp_speed_min,window_warp_speed_max,window_slice_ratio,window_slice_min_window_len,wdba_k,wdba_max_iter,wdba_tau,spawner_noise_scale
racketsports,1,raw_aug_window_slicing,success,,0.8656212251404092,0.8777786079874472,0.012157382847038045,1200,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_slicing,0.9705882352941176,30,0,0,2.8271771740110125,,,,,,,,0.9,4.0,,,,
racketsports,1,wdba_sameclass,success,,0.8656212251404092,0.8974447898202618,0.03182356467985259,1200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.9705882352941176,17,0,0,7.305071176000638,,,,,,,,,,5.0,5.0,81.66226039613369,
racketsports,1,spawner_sameclass_style,success,,0.8656212251404092,0.8975001878145894,0.03187896267418022,1200,10.0,10.0,dtw_pattern_mix,hard,resnet1d,True,True,tslearn,True,spawner_style_same_class_dtw_aligned_average,0.9373774509803922,16,0,0,2.858921906998148,,,,,,,,,,,,,0.05
racketsports,2,raw_aug_magnitude_warping,success,,0.8588293650793651,0.8779723797329431,0.019143014653577928,1200,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_magnitude_warping,1.0,30,0,0,3.8794093659962527,0.2,4.0,1.0,,,,,,,,,,
racketsports,2,raw_aug_window_warping,success,,0.8588293650793651,0.8338769458858414,-0.024952419193523756,1200,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_warping,0.9705882352941176,13,0,0,1.3978328820085153,,,,0.1,4.0,0.5,2.0,,,,,,
racketsports,2,raw_aug_window_slicing,success,,0.8588293650793651,0.8973519569329259,0.03852259185356077,1200,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_slicing,0.9701754385964912,30,0,0,2.988202435983112,,,,,,,,0.9,4.0,,,,
racketsports,2,wdba_sameclass,success,,0.8588293650793651,0.9091357298910959,0.050306364811730786,1200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.9701754385964912,30,0,0,8.567224355996586,,,,,,,,,,5.0,5.0,81.44592160844442,
racketsports,2,spawner_sameclass_style,success,,0.8588293650793651,0.9096385542168675,0.05080918913750232,1200,10.0,10.0,dtw_pattern_mix,hard,resnet1d,True,True,tslearn,True,spawner_style_same_class_dtw_aligned_average,0.9686274509803922,28,0,0,4.0374984630034305,,,,,,,,,,,,,0.05
racketsports,3,raw_aug_magnitude_warping,success,,0.8843719087962982,0.8852757165720937,0.0009038077757954621,1200,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_magnitude_warping,0.9409722222222222,14,0,0,2.293463892012369,0.2,4.0,1.0,,,,,,,,,,
racketsports,3,raw_aug_window_warping,success,,0.8843719087962982,0.8960944853033042,0.011722576507005922,1200,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_warping,0.9409722222222222,30,0,0,3.1498346269945614,,,,0.1,4.0,0.5,2.0,,,,,,
racketsports,3,raw_aug_window_slicing,success,,0.8843719087962982,0.8772148039753673,-0.007157104820930904,1200,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_slicing,0.9117647058823529,12,0,0,1.2165757720067631,,,,,,,,0.9,4.0,,,,
racketsports,3,wdba_sameclass,success,,0.8843719087962982,0.883992673992674,-0.0003792348036242288,1200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.9705882352941176,28,0,0,8.338186670007417,,,,,,,,,,5.0,5.0,80.10948993054942,
racketsports,3,spawner_sameclass_style,success,,0.8843719087962982,0.8844907319661878,0.000118823169889537,1200,10.0,10.0,dtw_pattern_mix,hard,resnet1d,True,True,tslearn,True,spawner_style_same_class_dtw_aligned_average,0.9117647058823529,30,0,0,4.273036211001454,,,,,,,,,,,,,0.05
