dataset,seed,class_id,prototype_id,trial_id,window_index,opp_class_id,opp_prototype_id,same_dist,opp_dist,epsilon_local,margin_before,margin_after,margin_gain,orig_local_step,shaped_local_step,local_step_distortion_ratio
selfregulationscp1,1,0,0,selfregulationscp1_train_n00074,414,1,0,0.6174077021985078,0.5098151302168289,0.05098151302168289,-0.10759257198167893,-0.10602239537063529,0.0015701766110436388,0.03600020159085217,0.04607896815697103,1.2799641702195337
selfregulationscp1,1,0,0,selfregulationscp1_train_n00074,418,1,0,0.594473343127152,0.486969040601047,0.048696904060104705,-0.10750430252610504,-0.1058839379031345,0.0016203646229705493,0.03882585123072525,0.05130663160082559,1.3214554214389906
selfregulationscp1,1,0,0,selfregulationscp1_train_n00074,415,1,0,0.6122094922569788,0.5053896775854606,0.05053896775854606,-0.10681981467151824,-0.10520201686043601,0.0016177978110822333,0.027407056301437315,0.03933941882884019,1.4353755615402266
selfregulationscp1,1,0,0,selfregulationscp1_train_n00074,417,1,0,0.5999302111034045,0.49319473826925875,0.04931947382692588,-0.10673547283414575,-0.10508841475048697,0.0016470580836587811,0.030138900761864547,0.046625034657977224,1.5470051488066534
selfregulationscp1,1,0,0,selfregulationscp1_train_n00074,420,1,0,0.5886208719361371,0.48188668214839847,0.04818866821483985,-0.10673418978773863,-0.10506320473078173,0.0016709850569568974,0.03682833159287176,0.04603412510825661,1.2499649893770008
selfregulationscp1,1,0,1,selfregulationscp1_train_n00053,181,1,1,0.7107530981034309,0.6392058517498985,0.06392058517498986,-0.07154724635353238,-0.07109862694261715,0.0004486194109152297,0.07052878298625971,0.09506923476457754,1.3479494575016098
selfregulationscp1,1,0,1,selfregulationscp1_train_n00053,182,1,1,0.7355619376746378,0.6641351271650976,0.06641351271650976,-0.07142681050954025,-0.0709878796234722,0.0004389308860680563,0.07355763525958559,0.09328325634331211,1.2681655142136452
selfregulationscp1,1,0,1,selfregulationscp1_train_n00053,180,1,1,0.6960915938445716,0.6252080219152081,0.06252080219152081,-0.07088357192936356,-0.07040651347571725,0.0004770584536463174,0.059273576580059606,0.06690105550985592,1.1286826166039439
selfregulationscp1,1,0,1,selfregulationscp1_train_n00053,183,1,1,0.770908478045711,0.7003128094769191,0.07003128094769191,-0.07059566856879196,-0.07015129682693033,0.00044437174186162665,0.06920873536647472,0.09135754986172617,1.320029175189647
selfregulationscp1,1,0,1,selfregulationscp1_train_n00053,179,1,1,0.6882862869780827,0.6185324785614599,0.06185324785614599,-0.06975380841662282,-0.06923757377793549,0.0005162346386873296,0.050450330119304276,0.06034353078710769,1.1960978380995348
selfregulationscp1,1,0,1,selfregulationscp1_train_n00053,184,1,1,0.8051801485684734,0.7356424161664626,0.07356424161664626,-0.06953773240201078,-0.06908208931519089,0.0004556430868198902,0.06335597608204849,0.08594287048783264,1.356507717228336
selfregulationscp1,1,0,1,selfregulationscp1_train_n00053,185,1,1,0.830468693611441,0.7617754449020949,0.0761775444902095,-0.06869324870934612,-0.06822844340231204,0.0004648053070340774,0.059082870658080086,0.0825171759744742,1.3966345076902464
selfregulationscp1,1,0,1,selfregulationscp1_train_n00053,178,1,1,0.6834354011456095,0.6151148992461012,0.06151148992461012,-0.06832050189950833,-0.06775766923942317,0.0005628326600851663,0.04736059187711125,0.0535932019371308,1.131599074525749
selfregulationscp1,1,0,2,selfregulationscp1_train_n00092,364,1,2,0.6278465046670269,0.4727808361739421,0.04727808361739422,-0.15506566849308473,-0.1536047362810789,0.0014609322120058277,0.04559238163827567,0.06562358702573584,1.4393542225186937
selfregulationscp1,1,0,2,selfregulationscp1_train_n00092,365,1,2,0.6349182150943541,0.48024448472091336,0.048024448472091336,-0.15467373037344073,-0.15320006487599253,0.0014736654974482066,0.040832044909433554,0.052549422165306545,1.2869652323772276
selfregulationscp1,1,0,2,selfregulationscp1_train_n00092,363,1,2,0.6243379455909689,0.4701863226565646,0.04701863226565647,-0.15415162293440426,-0.1526284553568572,0.0015231675775470577,0.04363446540496397,0.05141265985912914,1.178258044002077
selfregulationscp1,1,0,2,selfregulationscp1_train_n00092,366,1,2,0.6391961677188271,0.485462065611354,0.048546206561135404,-0.15373410210747313,-0.1522101678379752,0.0015239342694979285,0.0401854872354146,0.04984568441610404,1.2403901966921063
selfregulationscp1,1,0,2,selfregulationscp1_train_n00092,367,1,2,0.6411697056911357,0.48843604713773353,0.04884360471377336,-0.1527336585534022,-0.15115252802890017,0.001581130524502039,0.04842654780513568,0.05505795851332254,1.1369375065691467
selfregulationscp1,1,0,2,selfregulationscp1_train_n00092,362,1,2,0.622547034732534,0.4699147457910408,0.04699147457910408,-0.15263228894149322,-0.15101228909015696,0.0016199998513362623,0.04423697324625277,0.051569385483954594,1.1657530273801664
