dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,scaling_low,scaling_high,mixup_alpha,dba_k,dba_max_iter,smote_k_neighbors,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum,phase,fallback_count,method_elapsed_sec,warp_sigma,warp_knots,per_channel_curve,window_warp_ratio,window_warp_min_window_len,window_warp_speed_min,window_warp_speed_max,window_slice_ratio,window_slice_min_window_len,wdba_k,wdba_max_iter,wdba_tau,spawner_noise_scale,activation_policy,activation_scope,activation_topk,activation_tau,operator_name,dictionary_estimator,safe_generator,bridge_realizer,transport_error_fro_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,gamma_requested_mean,gamma_used_mean,gamma_zero_rate,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,aug_valid_rate,candidate_audit_rows,candidate_audit_available,candidate_accept_rate,candidate_physics_ok,candidate_audit_path,z_displacement_norm_mean,template_response_abs_mean,gamma_requested_mean_audit,gamma_used_mean_audit,safe_radius_ratio_mean_audit,safe_clip_rate_audit,gamma_zero_rate_audit,manifold_margin_mean_audit,transport_error_logeuc_mean_audit,template_usage_entropy_audit,top_template_concentration_audit,selection_stage,selector_name,feasible_rate,selector_accept_rate,pre_filter_reject_count,post_bridge_reject_count,reject_reason_zero_gamma,reject_reason_safe_radius,reject_reason_zero_direction,reject_reason_zero_margin,reject_reason_bridge_fail,reject_reason_transport_error,relevance_score_mean,safe_balance_score_mean,fidelity_score_mean,variety_score_mean,fv_score_mean,feasible_rate_audit,selector_accept_rate_audit,relevance_score_mean_audit,safe_balance_score_mean_audit,fidelity_score_mean_audit,variety_score_mean_audit,fv_score_mean_audit,gamma_used_gt_requested_count,safe_radius_ratio_out_of_bounds_count,direction_bank_source,utilization_mode,core_training_mode,aug_train_ratio,multi_template_pairs,template_selection,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,selected_template_entropy
handmovementdirection,2,pca_cov_state,success,,0.2030680813439434,0.2567315286065286,0.0536634472625851,1280,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.4083333333333333,14,0,,,,,,,1.1119543866528438e-07,10.0,0.6061246395111084,phase1_locked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handmovementdirection,2,csta_top1_current,success,,0.2030680813439434,0.2448107448107448,0.0417426634668013,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,anchor_top_response,0.4606553147574819,23,0,,,,,,,,,,phase1_locked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handmovementdirection,3,dba_sameclass,success,,0.1875628456510809,0.3114495798319328,0.1238867341808518,1280,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.4272520242914979,24,0,,,,5.0,5.0,,,,,phase1_locked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handmovementdirection,3,random_cov_state,success,,0.1875628456510809,0.326324469181612,0.138761623530531,1280,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.2836042311661506,25,0,,,,,,,1.1147033529183393e-07,,,phase1_locked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handmovementdirection,3,pca_cov_state,success,,0.1875628456510809,0.2851921920996254,0.0976293464485444,1280,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.29848660111818,21,0,,,,,,,1.114869669192624e-07,10.0,0.6058002710342407,phase1_locked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handmovementdirection,3,csta_top1_current,success,,0.1875628456510809,0.3022830090837565,0.1147201634326756,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,anchor_top_response,0.3084116541353383,30,0,,,,,,,,,,phase1_locked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handwriting,1,dba_sameclass,success,,0.382737297846506,0.3954241040624131,0.0126868062159071,1200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.292,19,400,,,,5.0,5.0,,,,,phase1_locked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handwriting,1,random_cov_state,success,,0.382737297846506,0.4822955299476751,0.0995582321011691,1200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.4,18,0,,,,,,,0.0003234982522515,,,phase1_locked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handwriting,1,pca_cov_state,success,,0.382737297846506,0.5107466165913952,0.1280093187448892,1200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.3426666666666667,19,0,,,,,,,0.0003235855563832,6.0,1.0,phase1_locked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handwriting,1,csta_top1_current,success,,0.382737297846506,0.486621859042157,0.1038845611956509,1200,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,anchor_top_response,0.3453333333333333,15,0,,,,,,,,,,phase1_locked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
