dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum,diffusionts_max_epochs,target_aug_ratio,timevqvae_vqvae_epochs,timevqvae_maskgit_epochs
handmovementdirection,1,diffusionts_classwise,success,,0.2384428967090257,0.163614810330912,-0.0748280863781137,1280,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.3151340996168582,15,0,0,174.6571104740724,,,,200.0,10.0,,
handmovementdirection,2,diffusionts_classwise,success,,0.2030680813439434,0.2128854332801701,0.0098173519362267,1280,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.3469397926634768,24,0,0,155.19330306199845,,,,200.0,10.0,,
handmovementdirection,3,diffusionts_classwise,success,,0.1875628456510809,0.1714096637825451,-0.0161531818685358,1280,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.2725885225885226,13,0,0,142.71641018299852,,,,200.0,10.0,,
japanesevowels,1,diffusionts_classwise,success,,0.9561456014766324,0.9381335091141628,-0.0180120923624697,2160,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.9813519813519812,30,0,0,43.19697258807719,,,,200.0,10.0,,
japanesevowels,2,diffusionts_classwise,success,,0.9741476029508114,0.9645808487031168,-0.0095667542476944,2160,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,1.0,23,0,0,40.516473983065225,,,,200.0,10.0,,
japanesevowels,3,diffusionts_classwise,success,,0.9681596726696928,0.9137783646048572,-0.0543813080648357,2160,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.9084175084175083,15,0,0,36.8837358339224,,,,200.0,10.0,,
natops,1,diffusionts_classwise,success,,0.9373000436629222,0.910609561770574,-0.0266904818923481,1440,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.945887445887446,21,0,0,30.887354044942185,,,,200.0,10.0,,
natops,2,diffusionts_classwise,success,,0.9070392331641024,0.873641554923294,-0.0333976782408084,1440,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.916083916083916,15,0,0,28.00830278894864,,,,200.0,10.0,,
natops,3,diffusionts_classwise,success,,0.920588320022504,0.916239813658946,-0.0043485063635578,1440,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.945887445887446,26,0,0,33.350173787912354,,,,200.0,10.0,,
racketsports,1,diffusionts_classwise,success,,0.8656212251404092,0.8705829636104134,0.0049617384700042,1200,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.9409722222222222,16,0,0,31.01173732802272,,,,200.0,10.0,,
racketsports,2,diffusionts_classwise,success,,0.8588293650793651,0.8589636323070058,0.0001342672276406,1200,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.8529411764705883,30,0,0,29.348244220018387,,,,200.0,10.0,,
